month,city,median_price_kusd
2021-01-01,Austin,414.2
2021-01-01,Boston,560.6
2021-01-31,Austin,420.7
2021-01-31,Boston,564.7
2021-03-02,Austin,436.6
2021-03-02,Boston,572.5
2021-04-01,Austin,447.3
2021-04-01,Boston,579.4
2021-05-01,Austin,460.8
2021-05-01,Boston,570.8
2021-05-31,Austin,454.9
2021-05-31,Boston,572.0
2021-06-30,Austin,457.7
2021-06-30,Boston,566.9
2021-07-30,Austin,451.2
2021-07-30,Boston,577.5
2021-08-29,Austin,464.2
2021-08-29,Boston,576.7
2021-09-28,Austin,463.5
2021-09-28,Boston,571.6
2021-10-28,Austin,475.6
2021-10-28,Boston,585.6
2021-11-27,Austin,488.2
2021-11-27,Boston,586.9
2021-12-27,Austin,506.4
2021-12-27,Boston,594.9
2022-01-26,Austin,513.9
2022-01-26,Boston,602.3
2022-02-25,Austin,522.8
2022-02-25,Boston,613.0
2022-03-27,Austin,531.0
2022-03-27,Boston,608.1
2022-04-26,Austin,539.3
2022-04-26,Boston,616.9
2022-05-26,Austin,535.0
2022-05-26,Boston,616.3
2022-06-25,Austin,542.5
2022-06-25,Boston,599.2
2022-07-25,Austin,528.0
2022-07-25,Boston,613.4
2022-08-24,Austin,533.0
2022-08-24,Boston,618.8
2022-09-23,Austin,542.8
2022-09-23,Boston,613.8
2022-10-23,Austin,548.2
2022-10-23,Boston,617.0
2022-11-22,Austin,554.0
2022-11-22,Boston,625.1
2022-12-22,Austin,572.9
2022-12-22,Boston,625.6
2023-01-21,Austin,579.7
2023-01-21,Boston,637.2
2023-02-20,Austin,587.7
2023-02-20,Boston,642.1
2023-03-22,Austin,593.9
2023-03-22,Boston,645.1
2023-04-21,Austin,595.6
2023-04-21,Boston,650.5
2023-05-21,Austin,586.9
2023-05-21,Boston,653.5
2023-06-20,Austin,578.9
2023-06-20,Boston,649.5
2023-07-20,Austin,583.2
2023-07-20,Boston,651.2
2023-08-19,Austin,588.0
2023-08-19,Boston,653.7
2023-09-18,Austin,590.4
2023-09-18,Boston,651.7
2023-10-18,Austin,601.7
2023-10-18,Boston,655.0
2023-11-17,Austin,603.4
2023-11-17,Boston,668.7
2023-12-17,Austin,615.6
2023-12-17,Boston,678.1
2024-01-16,Austin,623.3
2024-01-16,Boston,675.3
2024-02-15,Austin,633.2
2024-02-15,Boston,687.2
2024-03-16,Austin,630.5
2024-03-16,Boston,690.0
2024-04-15,Austin,632.0
2024-04-15,Boston,691.9
2024-05-15,Austin,630.2
2024-05-15,Boston,689.7
2024-06-14,Austin,634.3
2024-06-14,Boston,691.2
2024-07-14,Austin,614.9
2024-07-14,Boston,689.4
2024-08-13,Austin,617.2
2024-08-13,Boston,690.1
2024-09-12,Austin,619.7
2024-09-12,Boston,692.5
2024-10-12,Austin,612.8
2024-10-12,Boston,689.0
2024-11-11,Austin,633.8
2024-11-11,Boston,701.3
2024-12-11,Austin,640.4
2024-12-11,Boston,710.7
2025-01-10,Austin,637.8
2025-01-10,Boston,709.0
2025-02-09,Austin,648.0
2025-02-09,Boston,724.0
2025-03-11,Austin,656.2
2025-03-11,Boston,725.4
2025-04-10,Austin,646.5
2025-04-10,Boston,721.1
2025-05-10,Austin,638.7
2025-05-10,Boston,729.6
2025-06-09,Austin,634.0
2025-06-09,Boston,724.3
2025-07-09,Austin,636.6
2025-07-09,Boston,733.4
2025-08-08,Austin,619.4
2025-08-08,Boston,727.7
2025-09-07,Austin,620.4
2025-09-07,Boston,735.3
2025-10-07,Austin,624.7
2025-10-07,Boston,736.1
2025-11-06,Austin,622.3
2025-11-06,Boston,745.1
