ts,vibration_mm_s,bearing_temp_c
2026-03-04 06:00:00,0.414,67.85
2026-03-04 06:01:00,0.4571,67.41
2026-03-04 06:02:00,0.3339,67.43
2026-03-04 06:03:00,0.4555,66.67
2026-03-04 06:04:00,0.4124,67.0
2026-03-04 06:05:00,0.5105,66.37
2026-03-04 06:06:00,0.4282,67.82
2026-03-04 06:07:00,0.431,66.78
2026-03-04 06:08:00,0.456,66.26
2026-03-04 06:09:00,0.4639,66.27
2026-03-04 06:10:00,0.493,67.0
2026-03-04 06:11:00,0.5512,67.17
2026-03-04 06:12:00,0.5163,66.22
2026-03-04 06:13:00,0.4581,67.19
2026-03-04 06:14:00,0.5338,65.99
2026-03-04 06:15:00,0.5041,67.35
2026-03-04 06:16:00,0.5259,67.43
2026-03-04 06:17:00,0.4663,66.69
2026-03-04 06:18:00,0.4135,67.12
2026-03-04 06:19:00,0.4546,68.21
2026-03-04 06:20:00,0.4362,67.19
2026-03-04 06:21:00,0.3959,66.76
2026-03-04 06:22:00,0.4668,67.49
2026-03-04 06:23:00,0.5116,66.97
2026-03-04 06:24:00,0.406,67.27
2026-03-04 06:25:00,0.4682,67.29
2026-03-04 06:26:00,0.4161,67.68
2026-03-04 06:27:00,0.444,67.42
2026-03-04 06:28:00,0.4877,67.37
2026-03-04 06:29:00,0.4443,68.29
2026-03-04 06:30:00,0.4387,66.82
2026-03-04 06:31:00,0.4296,67.89
2026-03-04 06:32:00,0.426,67.31
2026-03-04 06:33:00,0.4654,66.69
2026-03-04 06:34:00,0.3449,67.18
2026-03-04 06:35:00,0.4197,66.64
2026-03-04 06:36:00,0.4421,67.36
2026-03-04 06:37:00,0.3645,67.31
2026-03-04 06:38:00,0.3938,66.11
2026-03-04 06:39:00,0.4175,66.97
2026-03-04 06:40:00,0.3675,67.31
2026-03-04 06:41:00,0.4153,66.65
2026-03-04 06:42:00,0.4106,67.61
2026-03-04 06:43:00,0.3653,67.23
2026-03-04 06:44:00,0.3935,68.36
2026-03-04 06:45:00,0.319,67.42
2026-03-04 06:46:00,0.3818,66.94
2026-03-04 06:47:00,0.471,66.99
2026-03-04 06:48:00,0.486,66.73
2026-03-04 06:49:00,0.4122,66.71
2026-03-04 06:50:00,0.3727,67.04
2026-03-04 06:51:00,0.3916,67.12
2026-03-04 06:52:00,0.3217,68.2
2026-03-04 06:53:00,0.4025,68.05
2026-03-04 06:54:00,0.3724,67.18
2026-03-04 06:55:00,0.5431,66.48
2026-03-04 06:56:00,0.3607,66.67
2026-03-04 06:57:00,0.4436,67.42
2026-03-04 06:58:00,0.4807,66.85
2026-03-04 06:59:00,0.3694,66.74
2026-03-04 07:00:00,0.4876,67.28
2026-03-04 07:01:00,0.3642,66.98
2026-03-04 07:02:00,0.5028,68.28
2026-03-04 07:03:00,0.4737,67.19
2026-03-04 07:04:00,0.4059,66.49
2026-03-04 07:05:00,0.4614,67.3
2026-03-04 07:06:00,0.4865,66.71
2026-03-04 07:07:00,0.4208,66.53
2026-03-04 07:08:00,0.4238,67.39
2026-03-04 07:09:00,0.3806,66.8
2026-03-04 07:10:00,0.4936,67.91
2026-03-04 07:11:00,0.4807,67.6
2026-03-04 07:12:00,0.4637,66.55
2026-03-04 07:13:00,0.4541,67.92
2026-03-04 07:14:00,0.5217,67.29
2026-03-04 07:15:00,0.6157,66.98
2026-03-04 07:16:00,0.5074,67.18
2026-03-04 07:17:00,0.4734,68.39
2026-03-04 07:18:00,0.5417,66.16
2026-03-04 07:19:00,0.4642,67.26
2026-03-04 07:20:00,0.51,66.19
2026-03-04 07:21:00,0.3864,65.86
2026-03-04 07:22:00,0.4715,66.94
2026-03-04 07:23:00,0.4855,66.54
2026-03-04 07:24:00,0.4197,65.79
2026-03-04 07:25:00,0.4787,67.22
2026-03-04 07:26:00,0.5018,67.47
2026-03-04 07:27:00,0.4508,67.81
2026-03-04 07:28:00,0.4493,66.6
2026-03-04 07:29:00,0.4301,66.65
2026-03-04 07:30:00,0.3604,67.09
2026-03-04 07:31:00,0.4531,66.78
2026-03-04 07:32:00,0.4107,67.22
2026-03-04 07:33:00,0.5042,67.02
2026-03-04 07:34:00,0.4116,66.65
2026-03-04 07:35:00,0.4257,66.24
2026-03-04 07:36:00,0.4203,67.04
2026-03-04 07:37:00,0.4961,67.57
2026-03-04 07:38:00,0.461,66.57
2026-03-04 07:39:00,0.4441,66.32
2026-03-04 07:40:00,0.4278,67.25
2026-03-04 07:41:00,0.3831,68.2
2026-03-04 07:42:00,0.4353,65.86
2026-03-04 07:43:00,0.4339,66.76
2026-03-04 07:44:00,0.4115,67.28
2026-03-04 07:45:00,0.4271,65.78
2026-03-04 07:46:00,0.3657,67.46
2026-03-04 07:47:00,0.465,68.14
2026-03-04 07:48:00,0.4865,65.77
2026-03-04 07:49:00,0.4469,65.85
2026-03-04 07:50:00,1.0277,69.46
2026-03-04 07:51:00,1.5121,68.87
2026-03-04 07:52:00,1.4218,71.05
2026-03-04 07:53:00,1.1361,69.15
2026-03-04 07:54:00,0.4434,68.09
2026-03-04 07:55:00,0.4014,67.13
2026-03-04 07:56:00,0.4466,66.59
2026-03-04 07:57:00,0.4687,67.06
2026-03-04 07:58:00,0.4093,68.06
2026-03-04 07:59:00,0.4832,66.9
2026-03-04 08:00:00,0.4305,66.53
2026-03-04 08:01:00,0.5097,66.91
2026-03-04 08:02:00,0.4833,66.89
2026-03-04 08:03:00,0.4939,66.93
2026-03-04 08:04:00,0.504,66.89
2026-03-04 08:05:00,0.5107,67.4
2026-03-04 08:06:00,0.4766,66.48
2026-03-04 08:07:00,0.4473,66.56
2026-03-04 08:08:00,0.4487,67.52
2026-03-04 08:09:00,0.4892,67.94
2026-03-04 08:10:00,0.5848,67.01
2026-03-04 08:11:00,0.4339,66.77
2026-03-04 08:12:00,0.4946,66.11
2026-03-04 08:13:00,0.489,67.17
2026-03-04 08:14:00,0.4816,66.54
2026-03-04 08:15:00,0.4701,68.07
2026-03-04 08:16:00,0.4942,66.5
2026-03-04 08:17:00,0.4853,67.57
2026-03-04 08:18:00,0.4721,67.29
2026-03-04 08:19:00,0.5274,67.45
2026-03-04 08:20:00,0.5526,66.67
2026-03-04 08:21:00,0.54,66.52
2026-03-04 08:22:00,0.4765,67.72
2026-03-04 08:23:00,0.5226,67.0
2026-03-04 08:24:00,0.4391,67.34
2026-03-04 08:25:00,0.4583,66.45
2026-03-04 08:26:00,0.4541,67.15
2026-03-04 08:27:00,0.3916,67.22
2026-03-04 08:28:00,0.4797,66.65
2026-03-04 08:29:00,0.5104,67.37
2026-03-04 08:30:00,0.4407,66.6
2026-03-04 08:31:00,0.4889,66.09
2026-03-04 08:32:00,0.444,66.62
2026-03-04 08:33:00,0.4563,67.13
2026-03-04 08:34:00,0.4514,67.68
2026-03-04 08:35:00,0.4556,66.81
2026-03-04 08:36:00,0.3949,67.43
2026-03-04 08:37:00,0.4615,67.87
2026-03-04 08:38:00,0.4078,67.02
2026-03-04 08:39:00,0.433,66.95
2026-03-04 08:40:00,0.4338,65.97
2026-03-04 08:41:00,0.4648,67.39
2026-03-04 08:42:00,0.4758,68.35
2026-03-04 08:43:00,0.417,66.98
2026-03-04 08:44:00,0.4298,68.17
2026-03-04 08:45:00,0.3603,67.29
2026-03-04 08:46:00,0.3712,65.45
2026-03-04 08:47:00,0.3501,66.17
2026-03-04 08:48:00,0.4751,66.48
2026-03-04 08:49:00,0.4251,66.3
2026-03-04 08:50:00,0.4608,66.34
2026-03-04 08:51:00,0.4916,66.4
2026-03-04 08:52:00,0.4113,67.07
2026-03-04 08:53:00,0.4461,67.85
2026-03-04 08:54:00,0.4535,66.28
2026-03-04 08:55:00,0.4301,66.66
2026-03-04 08:56:00,0.4855,67.23
2026-03-04 08:57:00,0.456,67.52
2026-03-04 08:58:00,0.4439,66.92
2026-03-04 08:59:00,0.4767,67.92
2026-03-04 09:00:00,0.4701,66.79
2026-03-04 09:01:00,0.4366,67.41
2026-03-04 09:02:00,0.4594,67.21
2026-03-04 09:03:00,0.4112,67.63
2026-03-04 09:04:00,0.4382,66.53
2026-03-04 09:05:00,0.5378,66.2
2026-03-04 09:06:00,0.4961,67.04
2026-03-04 09:07:00,0.4629,67.81
2026-03-04 09:08:00,0.5661,65.82
2026-03-04 09:09:00,0.4511,67.48
2026-03-04 09:10:00,0.4595,66.77
2026-03-04 09:11:00,0.519,67.42
2026-03-04 09:12:00,0.5067,67.06
2026-03-04 09:13:00,0.486,67.78
2026-03-04 09:14:00,0.4982,67.2
2026-03-04 09:15:00,0.498,67.06
2026-03-04 09:16:00,0.5119,66.9
2026-03-04 09:17:00,0.4777,67.48
2026-03-04 09:18:00,0.574,67.15
2026-03-04 09:19:00,0.5455,67.5
2026-03-04 09:20:00,0.5518,67.18
2026-03-04 09:21:00,0.5212,67.52
2026-03-04 09:22:00,0.5131,66.42
2026-03-04 09:23:00,0.5086,65.87
2026-03-04 09:24:00,0.5045,67.25
2026-03-04 09:25:00,0.5509,67.09
2026-03-04 09:26:00,0.5352,67.0
2026-03-04 09:27:00,0.4535,66.15
2026-03-04 09:28:00,0.4519,66.18
2026-03-04 09:29:00,0.5122,66.88
2026-03-04 09:30:00,0.5058,67.04
2026-03-04 09:31:00,0.5209,67.64
