order_id,order_date,ship_date,amount_usd
A-001,2025-09-29,2025-09-30,142.50
A-002,2025-12-23,2025-12-29,89.99
A-003,2026-01-02,2026-01-05,210.00
A-004,2026-03-30,2026-04-02,55.75
A-005,2026-04-01,2026-04-03,128.99
A-006,2026-05-25,2026-05-29,310.40
A-007,2026-07-03,2026-07-08,75.00
A-008,2026-09-01,2026-09-03,199.50
A-009,2026-09-30,2026-10-01,42.10
A-010,2026-10-05,2026-10-07,158.25
A-011,2026-11-26,2026-11-30,88.99
A-012,2026-12-22,2026-12-29,420.00
A-013,2026-12-31,2027-01-05,110.50
A-014,2027-01-15,2027-01-19,67.00
A-015,2027-04-15,2027-04-17,99.99
