id,group,measurement
1,A,98.2
2,A,101.5
3,A,99.7
4,A,100.4
5,A,97.8
6,A,102.1
7,A,99.5
8,A,100.9
9,A,98.6
10,A,101.0
11,A,99.0
12,A,100.3
13,A,98.9
14,A,101.7
15,A,99.4
16,A,100.6
17,A,98.3
18,A,101.2
19,A,99.8
20,A,100.1
21,A,98.5
22,A,100.7
23,A,99.2
24,A,101.4
25,A,98.7
26,B,99.0
27,B,102.0
28,B,98.5
29,B,101.5
30,B,100.0
31,B,140.0
32,B,99.8
33,B,101.0
34,B,98.2
35,B,150.0
36,B,99.5
37,B,100.5
38,B,98.8
39,B,101.8
40,B,99.3
41,B,68.0
42,B,100.1
43,B,98.9
44,B,101.3
45,B,99.6
46,B,75.0
47,B,100.8
48,B,98.4
49,B,101.6
50,B,99.9
