user_id,partition,session_minutes,pages_per_session,signups_today
1,baseline,12,4.2,3
2,baseline,18,5.1,3
3,baseline,9,3.8,3
4,baseline,22,6.4,3
5,baseline,14,4.5,3
6,baseline,17,5.3,3
7,baseline,11,4.0,3
8,baseline,19,5.7,3
9,baseline,15,4.8,3
10,baseline,21,6.1,3
11,baseline,13,4.3,3
12,baseline,16,5.0,3
13,baseline,10,3.9,3
14,baseline,20,5.9,3
15,baseline,8,,3
16,baseline,17,5.2,3
17,baseline,14,4.6,3
18,baseline,99,5.5,3
19,baseline,18,5.4,3
20,baseline,12,4.1,3
21,baseline,,,
22,baseline,15,4.7,3
23,baseline,16,5.0,3
24,baseline,11,4.0,3
25,baseline,18,5.6,3
26,current,28,7.1,5
27,current,32,8.3,5
28,current,24,6.8,5
29,current,30,7.5,5
30,current,27,7.0,5
31,current,35,8.7,5
32,current,29,7.4,5
33,current,33,8.1,5
34,current,26,6.9,5
35,current,31,7.8,5
36,current,28,7.2,5
37,current,34,8.5,5
38,current,25,6.7,5
39,current,30,7.6,5
40,current,29,,5
41,current,32,8.0,5
42,current,180,7.9,5
43,current,27,7.1,5
44,current,33,8.2,5
45,current,,,
46,current,30,7.5,5
47,current,28,7.3,5
48,current,31,7.7,5
49,current,29,7.0,5
50,current,34,8.4,5
