id,age,income,credit_score,n_late_payments,years_employed,noise_a,noise_b,defaulted
1,42,72000,720,0,15,0.32,0.81,0
2,28,38000,580,3,2,0.55,0.21,1
3,55,120000,800,0,30,0.18,0.45,0
4,33,45000,640,1,8,0.92,0.66,0
5,24,28000,520,5,1,0.71,0.34,1
6,47,95000,760,0,22,0.44,0.89,0
7,29,42000,600,2,4,0.61,0.12,1
8,52,110000,790,0,28,0.27,0.55,0
9,38,68000,710,1,14,0.83,0.43,0
10,26,32000,540,4,2,0.38,0.91,1
11,49,105000,770,0,25,0.69,0.27,0
12,31,52000,650,1,7,0.47,0.62,0
13,22,25000,500,6,1,0.91,0.18,1
14,44,82000,740,0,18,0.13,0.78,0
15,27,36000,560,3,3,0.85,0.29,1
16,50,118000,810,0,29,0.59,0.41,0
17,36,62000,690,0,12,0.22,0.84,0
18,30,40000,610,2,5,0.74,0.17,1
19,48,98000,770,0,24,0.40,0.51,0
20,25,30000,530,5,2,0.93,0.36,1
21,40,75000,720,0,17,0.31,0.79,0
22,32,48000,640,1,9,0.66,0.24,0
23,23,27000,510,4,1,0.51,0.95,1
24,53,115000,800,0,27,0.19,0.63,0
25,34,55000,670,1,10,0.78,0.39,0
26,46,90000,750,0,21,0.45,0.86,0
27,28,38000,580,2,3,0.62,0.15,1
28,51,108000,780,0,26,0.36,0.58,0
29,37,64000,700,0,13,0.81,0.46,0
30,26,33000,550,4,2,0.54,0.92,1
31,43,80000,730,0,16,0.29,0.71,0
32,30,45000,620,2,6,0.68,0.26,1
33,21,24000,490,7,1,0.96,0.14,1
34,45,92000,760,0,20,0.42,0.83,0
35,29,40000,590,2,4,0.57,0.31,1
36,54,122000,820,0,31,0.17,0.49,0
37,35,58000,680,0,11,0.84,0.42,0
38,31,46000,630,1,7,0.63,0.19,0
39,22,26000,500,5,1,0.49,0.94,1
40,47,96000,770,0,23,0.35,0.61,0
