user_id,checkout_button_color,converted,revenue
1,red,1,42.50
2,red,0,0.00
3,red,1,18.99
4,red,1,67.25
5,red,0,0.00
6,red,1,29.99
7,red,0,0.00
8,red,1,55.10
9,red,1,12.45
10,red,0,0.00
11,red,1,89.00
12,red,0,0.00
13,red,1,34.75
14,red,0,0.00
15,red,1,22.50
16,green,1,38.20
17,green,1,71.40
18,green,1,45.10
19,green,1,52.99
20,green,1,29.50
21,green,0,0.00
22,green,1,64.75
23,green,1,58.30
24,green,1,41.99
25,green,1,77.25
26,green,1,49.50
27,green,1,82.10
28,green,1,33.99
29,green,0,0.00
30,green,1,55.45
31,blue,0,0.00
32,blue,1,21.50
33,blue,0,0.00
34,blue,1,18.99
35,blue,0,0.00
36,blue,1,32.75
37,blue,0,0.00
38,blue,0,0.00
39,blue,1,15.50
40,blue,0,0.00
41,blue,1,28.99
42,blue,0,0.00
43,blue,0,0.00
44,blue,1,42.10
45,blue,0,0.00
