date,traffic
2026-01-01,98
2026-01-02,102
2026-01-03,99
2026-01-04,101
2026-01-05,97
2026-01-06,103
2026-01-07,100
2026-01-08,99
2026-01-09,102
2026-01-10,101
2026-01-11,98
2026-01-12,100
2026-01-13,103
2026-01-14,99
2026-01-15,97
2026-01-16,102
2026-01-17,101
2026-01-18,100
2026-01-19,98
2026-01-20,99
2026-01-21,103
2026-01-22,100
2026-01-23,97
2026-01-24,102
2026-01-25,99
2026-01-26,101
2026-01-27,100
2026-01-28,98
2026-01-29,103
2026-01-30,101
2026-01-31,148
2026-02-01,152
2026-02-02,149
2026-02-03,151
2026-02-04,148
2026-02-05,153
2026-02-06,150
2026-02-07,149
2026-02-08,152
2026-02-09,151
2026-02-10,148
2026-02-11,150
2026-02-12,153
2026-02-13,149
2026-02-14,147
2026-02-15,152
2026-02-16,151
2026-02-17,150
2026-02-18,148
2026-02-19,149
2026-02-20,153
2026-02-21,150
2026-02-22,147
2026-02-23,152
2026-02-24,149
2026-02-25,151
2026-02-26,150
2026-02-27,148
2026-02-28,153
