ts,heart_rate_bpm,spo2_pct,sbp_mmhg
2026-04-15 08:00:00,77.2,98.1,117.0
2026-04-15 08:00:30,76.8,97.0,117.5
2026-04-15 08:01:00,78.9,97.8,118.7
2026-04-15 08:01:30,77.1,97.8,120.9
2026-04-15 08:02:00,80.4,97.7,114.7
2026-04-15 08:02:30,76.8,97.2,120.4
2026-04-15 08:03:00,77.5,97.2,118.9
2026-04-15 08:03:30,79.7,97.7,119.9
2026-04-15 08:04:00,78.9,97.8,123.9
2026-04-15 08:04:30,76.6,97.8,120.3
2026-04-15 08:05:00,80.1,97.4,117.1
2026-04-15 08:05:30,78.6,96.8,121.4
2026-04-15 08:06:00,78.7,97.3,119.0
2026-04-15 08:06:30,77.2,97.2,121.7
2026-04-15 08:07:00,81.0,97.8,121.4
2026-04-15 08:07:30,81.1,97.0,123.9
2026-04-15 08:08:00,79.1,97.6,123.9
2026-04-15 08:08:30,78.5,97.8,122.8
2026-04-15 08:09:00,83.2,97.4,125.5
2026-04-15 08:09:30,80.7,97.0,125.8
2026-04-15 08:10:00,78.2,96.6,125.0
2026-04-15 08:10:30,81.5,97.5,122.9
2026-04-15 08:11:00,82.3,97.8,122.2
2026-04-15 08:11:30,81.1,97.0,122.5
2026-04-15 08:12:00,78.4,96.6,121.4
2026-04-15 08:12:30,81.8,97.1,122.8
2026-04-15 08:13:00,78.3,97.8,124.1
2026-04-15 08:13:30,80.7,97.5,121.8
2026-04-15 08:14:00,78.5,97.8,124.2
2026-04-15 08:14:30,81.0,96.2,126.6
2026-04-15 08:15:00,79.1,98.4,123.5
2026-04-15 08:15:30,79.8,97.8,122.9
2026-04-15 08:16:00,80.9,97.2,127.3
2026-04-15 08:16:30,80.7,97.7,123.4
2026-04-15 08:17:00,79.1,97.6,120.9
2026-04-15 08:17:30,78.4,97.9,122.5
2026-04-15 08:18:00,81.0,97.2,125.8
2026-04-15 08:18:30,77.2,97.7,126.1
2026-04-15 08:19:00,80.4,98.0,127.8
2026-04-15 08:19:30,78.9,97.0,128.0
2026-04-15 08:20:00,76.4,97.3,126.9
2026-04-15 08:20:30,78.8,98.1,125.5
2026-04-15 08:21:00,75.4,97.4,125.9
2026-04-15 08:21:30,77.2,98.1,125.2
2026-04-15 08:22:00,75.3,97.7,123.4
2026-04-15 08:22:30,79.8,97.6,123.0
2026-04-15 08:23:00,78.6,98.4,121.8
2026-04-15 08:23:30,78.1,97.7,126.2
2026-04-15 08:24:00,77.0,97.7,124.5
2026-04-15 08:24:30,78.4,97.0,129.8
2026-04-15 08:25:00,78.3,97.0,125.9
2026-04-15 08:25:30,77.9,97.3,125.6
2026-04-15 08:26:00,74.9,98.0,124.8
2026-04-15 08:26:30,75.2,97.7,125.6
2026-04-15 08:27:00,73.7,97.0,123.0
2026-04-15 08:27:30,73.0,96.8,124.5
2026-04-15 08:28:00,75.0,97.5,124.3
2026-04-15 08:28:30,72.8,97.1,123.2
2026-04-15 08:29:00,72.2,97.8,123.2
2026-04-15 08:29:30,73.9,97.3,130.8
2026-04-15 08:30:00,71.0,97.6,125.3
2026-04-15 08:30:30,72.3,97.6,126.2
2026-04-15 08:31:00,71.7,97.7,126.7
2026-04-15 08:31:30,75.0,97.3,128.8
2026-04-15 08:32:00,72.6,96.7,126.8
2026-04-15 08:32:30,72.6,97.1,127.6
2026-04-15 08:33:00,71.9,97.9,125.5
2026-04-15 08:33:30,73.6,97.8,126.6
2026-04-15 08:34:00,70.8,97.9,125.6
2026-04-15 08:34:30,75.3,97.7,127.0
2026-04-15 08:35:00,71.0,97.3,125.7
2026-04-15 08:35:30,70.4,97.0,125.2
2026-04-15 08:36:00,72.0,97.6,127.5
2026-04-15 08:36:30,71.4,97.8,124.9
2026-04-15 08:37:00,71.7,97.6,121.0
2026-04-15 08:37:30,72.1,97.2,123.2
2026-04-15 08:38:00,69.2,97.3,121.2
2026-04-15 08:38:30,73.3,97.4,121.5
2026-04-15 08:39:00,71.1,97.8,123.6
2026-04-15 08:39:30,71.7,97.4,124.4
2026-04-15 08:40:00,69.6,97.5,123.4
2026-04-15 08:40:30,76.7,97.4,123.5
2026-04-15 08:41:00,73.9,97.4,124.8
2026-04-15 08:41:30,71.2,98.1,122.9
2026-04-15 08:42:00,73.2,98.0,123.4
2026-04-15 08:42:30,72.8,97.7,125.3
2026-04-15 08:43:00,71.3,97.6,121.9
2026-04-15 08:43:30,72.0,97.2,126.1
2026-04-15 08:44:00,75.7,98.5,123.4
2026-04-15 08:44:30,72.2,97.1,126.6
2026-04-15 08:45:00,71.3,97.4,122.1
2026-04-15 08:45:30,76.5,97.1,125.3
2026-04-15 08:46:00,76.0,97.4,123.9
2026-04-15 08:46:30,72.0,97.5,122.4
2026-04-15 08:47:00,70.7,97.7,123.4
2026-04-15 08:47:30,72.2,96.9,121.0
2026-04-15 08:48:00,74.2,97.4,120.4
2026-04-15 08:48:30,73.7,97.6,121.2
2026-04-15 08:49:00,75.3,97.4,122.9
2026-04-15 08:49:30,75.5,97.8,122.1
2026-04-15 08:50:00,77.3,98.0,118.8
2026-04-15 08:50:30,77.6,98.2,119.6
2026-04-15 08:51:00,76.5,97.4,122.2
2026-04-15 08:51:30,77.5,97.2,123.8
2026-04-15 08:52:00,75.7,97.4,123.1
2026-04-15 08:52:30,80.2,97.3,122.4
2026-04-15 08:53:00,77.8,96.9,118.8
2026-04-15 08:53:30,75.9,97.3,119.7
2026-04-15 08:54:00,78.0,98.0,121.2
2026-04-15 08:54:30,82.1,97.4,121.7
2026-04-15 08:55:00,79.0,98.1,119.2
2026-04-15 08:55:30,79.8,98.2,118.4
2026-04-15 08:56:00,78.6,97.7,118.8
2026-04-15 08:56:30,77.6,98.2,119.0
2026-04-15 08:57:00,81.7,97.3,118.9
2026-04-15 08:57:30,80.4,97.4,117.3
2026-04-15 08:58:00,78.3,97.6,117.6
2026-04-15 08:58:30,79.6,96.6,117.7
2026-04-15 08:59:00,79.3,97.3,116.7
2026-04-15 08:59:30,78.4,97.5,121.4
2026-04-15 09:00:00,77.7,97.4,120.3
2026-04-15 09:00:30,80.4,97.5,117.2
2026-04-15 09:01:00,79.9,97.5,113.6
2026-04-15 09:01:30,78.9,96.7,120.4
2026-04-15 09:02:00,81.2,97.2,119.3
2026-04-15 09:02:30,83.7,97.3,120.1
2026-04-15 09:03:00,80.5,97.4,115.1
2026-04-15 09:03:30,79.1,97.3,112.6
2026-04-15 09:04:00,80.7,97.4,118.0
2026-04-15 09:04:30,79.2,98.7,113.6
2026-04-15 09:05:00,78.4,97.8,121.5
2026-04-15 09:05:30,78.2,98.2,114.8
2026-04-15 09:06:00,81.6,97.5,120.9
2026-04-15 09:06:30,82.2,97.2,122.2
2026-04-15 09:07:00,77.7,97.4,119.8
2026-04-15 09:07:30,78.1,97.2,116.3
2026-04-15 09:08:00,79.8,97.7,114.5
2026-04-15 09:08:30,79.2,97.8,118.8
2026-04-15 09:09:00,79.2,97.0,115.8
2026-04-15 09:09:30,77.6,98.0,112.2
2026-04-15 09:10:00,79.2,97.1,118.0
2026-04-15 09:10:30,79.3,97.6,116.4
2026-04-15 09:11:00,77.4,97.8,115.1
2026-04-15 09:11:30,78.8,97.5,110.2
2026-04-15 09:12:00,76.7,98.1,118.0
2026-04-15 09:12:30,77.4,97.4,114.3
2026-04-15 09:13:00,77.9,97.7,112.9
2026-04-15 09:13:30,77.7,98.0,112.9
2026-04-15 09:14:00,76.2,97.7,116.1
2026-04-15 09:14:30,75.6,97.3,113.7
2026-04-15 09:15:00,76.6,97.7,114.5
2026-04-15 09:15:30,73.7,97.1,115.7
2026-04-15 09:16:00,73.7,97.6,113.7
2026-04-15 09:16:30,74.3,97.5,117.7
2026-04-15 09:17:00,75.4,97.4,111.3
2026-04-15 09:17:30,75.5,98.0,115.5
2026-04-15 09:18:00,76.3,97.7,111.6
2026-04-15 09:18:30,74.2,97.7,115.6
2026-04-15 09:19:00,73.3,97.5,114.9
2026-04-15 09:19:30,75.8,97.9,115.4
2026-04-15 09:20:00,74.2,97.1,111.9
2026-04-15 09:20:30,73.3,97.9,114.8
2026-04-15 09:21:00,74.1,96.9,111.1
2026-04-15 09:21:30,74.8,97.5,111.4
2026-04-15 09:22:00,74.2,97.6,119.9
2026-04-15 09:22:30,74.6,97.6,113.7
2026-04-15 09:23:00,73.0,97.5,111.1
2026-04-15 09:23:30,73.9,97.6,108.5
2026-04-15 09:24:00,71.4,97.2,116.0
2026-04-15 09:24:30,72.2,98.1,110.9
2026-04-15 09:25:00,70.6,97.9,112.8
2026-04-15 09:25:30,70.5,97.3,112.6
2026-04-15 09:26:00,72.9,97.9,110.9
2026-04-15 09:26:30,71.6,97.5,114.3
2026-04-15 09:27:00,73.3,97.5,113.0
2026-04-15 09:27:30,70.3,96.8,113.5
2026-04-15 09:28:00,72.0,97.9,113.5
2026-04-15 09:28:30,75.5,97.5,113.4
2026-04-15 09:29:00,72.6,97.1,114.8
2026-04-15 09:29:30,69.0,97.8,114.6
2026-04-15 09:30:00,72.5,97.6,112.0
2026-04-15 09:30:30,70.9,98.1,115.6
2026-04-15 09:31:00,71.5,97.7,115.5
2026-04-15 09:31:30,75.4,97.9,115.6
2026-04-15 09:32:00,71.9,98.2,114.7
2026-04-15 09:32:30,71.5,97.0,113.2
2026-04-15 09:33:00,72.4,97.8,116.9
2026-04-15 09:33:30,74.8,97.6,116.8
