month,readmission_rate_pct,total_admissions
2022-03-02,14.32,887
2022-04-01,13.42,915
2022-05-01,12.7,982
2022-05-31,13.36,955
2022-06-30,13.41,944
2022-07-30,13.38,909
2022-08-29,14.54,915
2022-09-28,14.5,873
2022-10-28,15.36,825
2022-11-27,15.73,792
2022-12-27,15.31,895
2023-01-26,15.03,841
2023-02-25,14.24,902
2023-03-27,13.05,915
2023-04-26,12.55,937
2023-05-26,12.23,978
2023-06-25,12.8,919
2023-07-25,12.83,970
2023-08-24,14.5,909
2023-09-23,15.18,900
2023-10-23,15.03,798
2023-11-22,15.24,807
2023-12-22,15.06,891
2024-01-21,14.48,850
2024-02-20,13.07,850
2024-03-21,11.94,970
2024-04-20,12.42,948
2024-05-20,11.76,958
2024-06-19,11.99,986
2024-07-19,12.7,880
2024-08-18,11.42,851
2024-09-17,11.6,835
2024-10-17,12.32,816
2024-11-16,11.93,813
2024-12-16,12.55,843
2025-01-15,11.87,904
2025-02-14,10.86,914
2025-03-16,9.53,927
2025-04-15,8.83,965
2025-05-15,9.4,984
2025-06-14,9.2,974
2025-07-14,9.7,915
2025-08-13,10.72,918
2025-09-12,12.16,888
2025-10-12,11.39,823
2025-11-11,11.48,841
2025-12-11,11.31,882
2026-01-10,11.0,886
