week,active_listings
2023-01-08,4667
2023-01-15,4910
2023-01-22,4843
2023-01-29,4680
2023-02-05,4849
2023-02-12,4868
2023-02-19,4876
2023-02-26,5051
2023-03-05,5042
2023-03-12,5131
2023-03-19,5146
2023-03-26,5226
2023-04-02,5411
2023-04-09,5519
2023-04-16,5714
2023-04-23,5542
2023-04-30,5796
2023-05-07,6047
2023-05-14,5879
2023-05-21,5915
2023-05-28,5996
2023-06-04,6245
2023-06-11,6069
2023-06-18,6250
2023-06-25,6203
2023-07-02,6230
2023-07-09,6266
2023-07-16,6252
2023-07-23,6236
2023-07-30,6242
2023-08-06,6237
2023-08-13,6108
2023-08-20,6150
2023-08-27,5977
2023-09-03,5904
2023-09-10,5876
2023-09-17,5594
2023-09-24,5601
2023-10-01,5522
2023-10-08,5387
2023-10-15,5378
2023-10-22,5227
2023-10-29,5116
2023-11-05,5239
2023-11-12,5274
2023-11-19,5078
2023-11-26,4933
2023-12-03,4965
2023-12-10,4826
2023-12-17,4723
2023-12-24,4735
2023-12-31,4668
2024-01-07,4457
2024-01-14,4613
2024-01-21,4632
2024-01-28,4805
2024-02-04,4738
2024-02-11,4643
2024-02-18,4898
2024-02-25,5001
2024-03-03,5130
2024-03-10,5168
2024-03-17,5479
2024-03-24,5213
2024-03-31,5548
2024-04-07,5601
2024-04-14,5526
2024-04-21,5677
2024-04-28,5701
2024-05-05,5858
2024-05-12,5905
2024-05-19,5981
2024-05-26,6098
2024-06-02,6044
2024-06-09,6332
2024-06-16,6344
2024-06-23,6200
2024-06-30,6389
2024-07-07,6184
2024-07-14,6097
2024-07-21,4611
2024-07-28,4608
2024-08-04,4427
2024-08-11,4516
2024-08-18,4614
2024-08-25,4661
2024-09-01,4158
2024-09-08,4207
2024-09-15,3948
2024-09-22,4302
2024-09-29,3848
2024-10-06,3894
2024-10-13,3713
2024-10-20,3492
2024-10-27,3493
2024-11-03,3279
2024-11-10,3275
2024-11-17,3240
2024-11-24,3225
2024-12-01,2891
2024-12-08,3084
2024-12-15,3332
2024-12-22,2918
2024-12-29,3041
2025-01-05,2953
2025-01-12,2695
2025-01-19,2913
2025-01-26,2976
2025-02-02,3184
2025-02-09,3137
2025-02-16,3176
2025-02-23,3943
2025-03-02,3959
2025-03-09,4010
2025-03-16,4189
2025-03-23,4057
2025-03-30,4280
2025-04-06,4537
2025-04-13,4261
2025-04-20,4504
2025-04-27,4700
2025-05-04,4796
2025-05-11,4817
2025-05-18,4977
2025-05-25,4901
2025-06-01,5166
2025-06-08,5129
2025-06-15,5347
2025-06-22,5269
2025-06-29,5254
2025-07-06,5355
2025-07-13,6205
2025-07-20,6244
2025-07-27,6055
2025-08-03,6304
2025-08-10,6340
2025-08-17,6045
2025-08-24,5896
2025-08-31,6078
2025-09-07,5790
2025-09-14,5728
2025-09-21,5860
2025-09-28,5556
2025-10-05,5479
2025-10-12,5580
2025-10-19,5373
2025-10-26,5099
2025-11-02,5293
2025-11-09,4853
2025-11-16,5080
2025-11-23,4955
2025-11-30,4784
2025-12-07,4705
2025-12-14,4629
2025-12-21,4913
2025-12-28,4719
