week,units_sold
2024-01-07,752
2024-01-14,765
2024-01-21,787
2024-01-28,857
2024-02-04,832
2024-02-11,776
2024-02-18,915
2024-02-25,910
2024-03-03,945
2024-03-10,999
2024-03-17,1040
2024-03-24,1130
2024-03-31,1134
2024-04-07,1135
2024-04-14,1116
2024-04-21,1131
2024-04-28,1235
2024-05-05,1326
2024-05-12,1274
2024-05-19,1287
2024-05-26,1343
2024-06-02,1239
2024-06-09,1319
2024-06-16,1375
2024-06-23,1402
2024-06-30,1336
2024-07-07,1370
2024-07-14,1356
2024-07-21,1378
2024-07-28,1252
2024-08-04,1337
2024-08-11,1193
2024-08-18,1106
2024-08-25,1205
2024-09-01,1162
2024-09-08,1245
2024-09-15,1206
2024-09-22,1067
2024-09-29,1165
2024-10-06,1029
2024-10-13,1060
2024-10-20,1025
2024-10-27,1029
2024-11-03,1053
2024-11-10,1026
2024-11-17,996
2024-11-24,1004
2024-12-01,1267
2024-12-08,1328
2024-12-15,1453
2024-12-22,1602
2024-12-29,1798
2025-01-05,964
2025-01-12,1134
2025-01-19,963
2025-01-26,967
2025-02-02,1104
2025-02-09,1170
2025-02-16,1144
2025-02-23,1194
2025-03-02,1262
2025-03-09,1204
2025-03-16,1159
2025-03-23,1247
2025-03-30,1370
2025-04-06,1260
2025-04-13,1381
2025-04-20,1425
2025-04-27,1420
2025-05-04,1509
2025-05-11,1525
2025-05-18,1651
2025-05-25,1567
2025-06-01,1508
2025-06-08,1522
2025-06-15,1514
2025-06-22,1625
2025-06-29,1535
2025-07-06,1562
2025-07-13,1604
2025-07-20,1506
2025-07-27,1519
2025-08-03,1411
2025-08-10,1438
2025-08-17,1448
2025-08-24,1485
2025-08-31,1507
2025-09-07,1409
2025-09-14,1400
2025-09-21,1369
2025-09-28,1398
2025-10-05,1361
2025-10-12,1300
2025-10-19,1201
2025-10-26,1295
2025-11-02,1245
2025-11-09,1280
2025-11-16,1191
2025-11-23,1301
2025-11-30,1435
2025-12-07,1679
2025-12-14,1721
2025-12-21,1817
2025-12-28,1918
