sensor_id,city,temperature_celsius,distance_miles,energy_kwh,pressure_psi
S-101,New York,22.5,1.2,3.4,14.7
S-102,Los Angeles,28.0,0.8,2.1,14.5
S-103,Chicago,15.3,2.5,5.7,14.6
S-104,Houston,32.1,1.7,4.2,14.4
S-105,Phoenix,38.7,3.0,6.8,14.3
S-106,Philadelphia,19.5,0.5,1.5,14.7
S-107,San Antonio,30.4,2.2,5.1,14.5
S-108,San Diego,24.9,1.9,3.9,14.6
S-109,Dallas,29.6,2.4,5.4,14.4
S-110,Austin,31.2,2.8,5.9,14.5
S-111,Jacksonville,27.3,1.5,3.2,14.6
S-112,Fort Worth,30.8,2.6,5.6,14.4
S-113,Columbus,17.4,1.0,2.3,14.7
S-114,Charlotte,23.7,1.8,4.1,14.6
S-115,Indianapolis,16.2,1.3,2.8,14.7
