airfoil,reynolds,alpha_deg,run_id,cl,cd,cm,cl_cd_ratio,flow_regime,stalled,transition_pt_chord
NACA-0006,50000,-10.0,run_01,-1.0984,0.22216,-0.04,-4.944,laminar,false,0.805
NACA-0006,50000,-10.0,run_02,-1.0982,0.22097,-0.04,-4.97,laminar,false,0.805
NACA-0006,50000,-10.0,run_03,-1.0992,0.22242,-0.04,-4.942,laminar,false,0.805
NACA-0006,50000,-10.0,run_04,-1.0887,0.22242,-0.04,-4.895,laminar,false,0.805
NACA-0006,50000,-9.5,run_01,-1.0388,0.20587,-0.0405,-5.046,laminar,false,
NACA-0006,50000,-9.5,run_02,-1.0354,0.20338,-0.0405,-5.091,laminar,false,0.8087
NACA-0006,50000,-9.5,run_03,-1.0313,0.20448,-0.0405,-5.044,laminar,false,0.8087
NACA-0006,50000,-9.5,run_04,-1.0324,0.20369,-0.0405,-5.068,laminar,false,0.8087
NACA-0006,50000,-9.0,run_01,-1.0184,0.18727,-0.041,-5.438,laminar,false,0.8125
NACA-0006,50000,-9.0,run_02,-0.979,0.18672,-0.041,-5.243,laminar,false,0.8125
NACA-0006,50000,-9.0,run_03,-0.988,0.18755,-0.041,-5.268,laminar,false,0.8125
NACA-0006,50000,-9.0,run_04,-0.9793,0.18813,-0.041,-5.205,laminar,false,0.8125
NACA-0006,50000,-8.5,run_01,-0.9397,0.17105,-0.0415,-5.494,laminar,false,0.8162
NACA-0006,50000,-8.5,run_02,-0.9351,0.1738,-0.0415,-5.381,laminar,false,0.8162
NACA-0006,50000,-8.5,run_03,-0.9229,0.17297,-0.0415,-5.336,laminar,false,0.8162
NACA-0006,50000,-8.5,run_04,-0.915,0.17161,-0.0415,-5.332,laminar,false,0.8162
NACA-0006,50000,-8.0,run_01,-0.8659,0.15502,-0.042,-5.586,laminar,false,0.82
NACA-0006,50000,-8.0,run_02,-0.8811,0.15697,-0.042,-5.613,laminar,false,0.82
NACA-0006,50000,-8.0,run_03,-0.8699,0.15577,-0.042,-5.584,laminar,false,0.82
NACA-0006,50000,-8.0,run_04,-0.8659,0.15581,-0.042,-5.557,laminar,false,0.82
NACA-0006,50000,-7.5,run_01,-0.8311,0.14143,-0.0425,-5.877,laminar,false,0.8237
NACA-0006,50000,-7.5,run_02,-0.8293,0.14207,-0.0425,-5.837,laminar,false,0.8237
NACA-0006,50000,-7.5,run_03,-0.8193,0.14184,-0.0425,-5.776,laminar,false,0.8237
NACA-0006,50000,-7.5,run_04,-0.8192,0.14078,-0.0425,-5.819,laminar,false,0.8237
NACA-0006,50000,-7.0,run_01,-0.7529,0.12779,-0.043,-5.892,laminar,false,0.8275
NACA-0006,50000,-7.0,run_02,-0.7485,0.12792,-0.043,-5.851,laminar,false,0.8275
NACA-0006,50000,-7.0,run_03,-0.7694,0.1291,-0.043,-5.96,laminar,false,0.8275
NACA-0006,50000,-7.0,run_04,-0.7961,0.12846,-0.043,-6.198,laminar,false,0.8275
NACA-0006,50000,-6.5,run_01,-0.7203,0.11469,-0.0435,-6.281,laminar,false,0.8312
NACA-0006,50000,-6.5,run_02,-0.7179,0.11592,-0.0435,-6.193,laminar,false,0.8312
NACA-0006,50000,-6.5,run_03,-0.7116,0.11358,-0.0435,-6.266,laminar,false,0.8312
NACA-0006,50000,-6.5,run_04,-0.7022,0.1147,-0.0435,-6.122,laminar,false,0.8312
NACA-0006,50000,-6.0,run_01,-0.6416,0.10114,-0.044,-6.343,laminar,false,0.835
NACA-0006,50000,-6.0,run_02,-0.637,0.10081,-0.044,-6.319,laminar,false,0.835
NACA-0006,50000,-6.0,run_03,-0.6396,0.10296,-0.044,-6.212,laminar,false,0.835
NACA-0006,50000,-6.0,run_04,-0.673,0.10249,-0.044,-6.566,laminar,false,0.835
NACA-0006,50000,-5.5,run_01,-0.6105,0.09098,-0.0445,-6.71,laminar,false,0.8387
NACA-0006,50000,-5.5,run_02,-0.6,0.09143,-0.0445,-6.562,laminar,false,0.8387
NACA-0006,50000,-5.5,run_03,-0.6165,0.0911,-0.0445,-6.767,laminar,false,0.8387
NACA-0006,50000,-5.5,run_04,-0.6115,0.09171,-0.0445,-6.668,laminar,false,0.8387
NACA-0006,50000,-5.0,run_01,-0.533,0.08037,-0.045,-6.632,laminar,false,0.8425
NACA-0006,50000,-5.0,run_02,-0.5454,0.07955,-0.045,-6.856,laminar,false,0.8425
NACA-0006,50000,-5.0,run_03,-0.5469,0.08029,-0.045,-6.812,laminar,false,0.8425
NACA-0006,50000,-5.0,run_04,-0.569,0.08009,-0.045,-7.105,laminar,false,0.8425
NACA-0006,50000,-4.5,run_01,-0.483,0.07024,-0.0455,-6.877,laminar,false,0.8462
NACA-0006,50000,-4.5,run_02,-0.4958,0.06836,-0.0455,-7.253,laminar,false,0.8462
NACA-0006,50000,-4.5,run_03,-0.5024,0.07016,-0.0455,-7.161,laminar,false,0.8462
NACA-0006,50000,-4.5,run_04,-0.4887,0.07061,-0.0455,-6.921,laminar,false,0.8462
NACA-0006,50000,-4.0,run_01,-0.4386,0.06236,-0.046,-7.034,laminar,false,0.85
NACA-0006,50000,-4.0,run_02,-0.4423,0.06023,-0.046,-7.344,laminar,false,0.85
NACA-0006,50000,-4.0,run_03,-0.4118,0.05992,-0.046,-6.872,laminar,false,0.85
NACA-0006,50000,-4.0,run_04,-0.4469,0.06037,-0.046,-7.403,laminar,false,0.85
NACA-0006,50000,-3.5,run_01,-0.4091,0.0535,-0.0465,-7.647,laminar,false,0.8537
NACA-0006,50000,-3.5,run_02,-0.3959,0.05196,-0.0465,-7.62,laminar,false,0.8537
NACA-0006,50000,-3.5,run_03,-0.4018,0.0512,-0.0465,-7.847,laminar,false,0.8537
NACA-0006,50000,-3.5,run_04,-0.3683,0.05146,-0.0465,-7.157,laminar,false,0.8537
NACA-0006,50000,-3.0,run_01,-0.3141,0.04424,-0.047,-7.1,laminar,false,0.8575
NACA-0006,50000,-3.0,run_02,-0.3122,0.04573,-0.047,-6.827,laminar,false,0.8575
NACA-0006,50000,-3.0,run_03,-0.3439,0.04306,-0.047,-7.986,laminar,false,0.8575
NACA-0006,50000,-3.0,run_04,-0.322,0.04339,-0.047,-7.422,laminar,false,0.8575
NACA-0006,50000,-2.5,run_01,-0.288,0.03727,-0.0475,-7.728,laminar,false,0.8612
NACA-0006,50000,-2.5,run_02,-0.2688,0.03806,-0.0475,-7.061,laminar,false,0.8612
NACA-0006,50000,-2.5,run_03,-0.2789,0.03602,-0.0475,-7.744,laminar,false,0.8612
NACA-0006,50000,-2.5,run_04,-0.2622,0.03713,-0.0475,-7.062,laminar,false,0.8612
NACA-0006,50000,-2.0,run_01,-0.2119,0.03059,-0.048,-6.925,laminar,false,0.865
NACA-0006,50000,-2.0,run_02,-0.2012,0.02906,-0.048,-6.926,laminar,false,0.865
NACA-0006,50000,-2.0,run_03,-0.2099,0.0291,-0.048,-7.213,laminar,false,0.865
NACA-0006,50000,-2.0,run_04,-0.2202,0.03022,-0.048,-7.285,laminar,false,0.865
NACA-0006,50000,-1.5,run_01,-0.1792,0.02287,-0.0485,-7.834,laminar,false,0.8687
NACA-0006,50000,-1.5,run_02,-0.1526,0.0254,-0.0485,-6.006,laminar,false,0.8687
NACA-0006,50000,-1.5,run_03,-0.1661,0.0241,-0.0485,-6.894,laminar,false,0.8687
