target_id,mission,ra_deg,dec_deg,stellar_mag,stellar_teff_k,stellar_radius_rsun,period_days,transit_depth_ppm,transit_duration_hr,planet_radius_rearth,equilibrium_temp_k,snr,disposition,discovery_year
TIC-595126461,TESS,151.02714,-9.14237,11.11,5433,1.07,4.867,81,2.61,1.08,1267,38.3,confirmed,2024
TIC-602749116,TESS,105.54418,23.15516,8.21,6691,1.169,27.018,456,5.87,2.66,811,44.7,candidate,2024
KIC-12468026,Kepler,233.29274,19.64358,13.92,6299,1.262,157.193,791,11.33,4.23,548,36.0,candidate,2011
KIC-214269125,K2,235.95792,-18.78626,12.54,6353,1.336,6.556,258,4.19,2.43,1311,29.8,false_positive,2017
KIC-12416580,Kepler,151.97759,-78.56501,8.0,5476,0.876,3.588,950,1.87,2.8,899,44.4,false_positive,2017
KIC-3997281,Kepler,182.7654,-70.84605,12.17,6853,1.341,7.899,624,3.32,4.51,1798,40.8,candidate,2013
TIC-268633898,TESS,316.08346,80.4509,14.48,5683,1.092,201.655,707,7.45,3.52,413,48.7,false_positive,2018
TIC-410957212,TESS,157.71603,3.16365,8.18,5854,1.103,52.455,140,9.02,1.46,581,29.2,candidate,2018
KIC-10580513,Kepler,207.43619,-46.2605,9.48,6255,1.217,98.357,355,8.07,2.45,551,48.5,candidate,2010
KIC-5673212,Kepler,166.5461,67.40747,10.56,5603,0.901,27.936,157,3.11,1.24,635,35.4,confirmed,2010
KIC-7550190,Kepler,95.4731,51.13271,9.48,3392,0.54,76.375,379,2.81,1.11,200,37.2,candidate,2017
TIC-83574218,TESS,214.21264,31.53826,10.51,5675,1.026,32.776,152,5.84,1.34,681,42.2,confirmed,2019
KIC-8670955,Kepler,113.82379,45.33561,14.49,6083,1.144,69.165,104,7.74,1.32,578,17.2,candidate,2018
TIC-887358886,TESS,199.65682,77.71609,8.71,5792,1.018,37.524,2164,6.01,5.55,-1,45.3,false_positive,2018
TIC-464811020,TESS,298.56531,-82.06438,11.34,5713,1.032,11.932,191,4.42,1.5,915,44.9,false_positive,2020
KIC-1669324,Kepler,323.61287,-52.18622,11.14,5774,0.965,3.414,1414,2.51,4.19,1364,34.7,confirmed,2012
TIC-452073642,TESS,288.80465,65.53153,12.73,4362,0.775,14.866,106,3.69,0.8,521,37.6,confirmed,2024
TIC-387040284,TESS,230.93343,-18.05789,9.87,5061,0.959,20.783,977,4.14,2.87,595,37.3,candidate,2024
KIC-217094138,K2,15.97915,-11.50965,8.0,7195,1.376,37.513,160,7.49,2.27,995,44.8,candidate,2015
KIC-12363509,Kepler,269.32844,-58.67508,13.2,5364,0.954,5.965,1395,2.2,4.26,1130,38.4,confirmed,2018
KIC-9647849,Kepler,238.98738,21.46694,17.13,5993,1.0,3.236,266,2.2,1.91,1085,38.0,candidate,2012
TIC-15953697,TESS,321.35754,64.8793,15.63,6318,1.207,19.325,353,3.16,2.56,1109,42.2,candidate,2018
