city_name,latitude,longitude,population_k
"San Jose, CA",37.3382,-121.8863,1014
"San Francisco, CA",37.7749,-122.4194,808
"Oakland, CA",37.8044,-122.2712,440
"Fremont, CA",37.5485,-121.9886,231
"Hayward, CA",37.6688,-122.0808,162
"Sunnyvale, CA",37.3688,-122.0363,155
"Concord, CA",37.9780,-122.0311,129
"Santa Clara, CA",37.3541,-121.9552,127
"Vallejo, CA",38.1041,-122.2566,126
"Berkeley, CA",37.8716,-122.2727,124
"Richmond, CA",37.9358,-122.3477,116
"San Mateo, CA",37.5630,-122.3255,105
"Daly City, CA",37.6879,-122.4702,104
"Redwood City, CA",37.4852,-122.2364,85
"Mountain View, CA",37.3861,-122.0839,82
"Walnut Creek, CA",37.9101,-122.0652,71
"Palo Alto, CA",37.4419,-122.1430,69
"South San Francisco, CA",37.6547,-122.4077,67
"San Rafael, CA",37.9735,-122.5311,62
"Cupertino, CA",37.3230,-122.0322,60
