country_code,country_name,gdp_billion_usd,population_million
DE,Germany,4525.7,84.5
FR,France,3030.9,68.0
IT,Italy,2255.6,58.9
ES,Spain,1620.1,48.3
NL,Netherlands,1118.0,17.8
PL,Poland,811.2,37.7
BE,Belgium,644.8,11.7
SE,Sweden,593.3,10.5
IE,Ireland,560.6,5.2
AT,Austria,516.9,9.1
DK,Denmark,407.1,5.9
RO,Romania,350.4,19.0
FI,Finland,300.2,5.6
CZ,Czechia,335.2,10.9
PT,Portugal,289.1,10.5
GR,Greece,243.5,10.4
HU,Hungary,212.4,9.6
SK,Slovakia,127.6,5.4
LU,Luxembourg,89.1,0.65
BG,Bulgaria,103.1,6.4
HR,Croatia,82.7,3.9
LT,Lithuania,77.4,2.9
SI,Slovenia,68.4,2.1
LV,Latvia,41.2,1.9
EE,Estonia,40.7,1.4
CY,Cyprus,32.0,0.92
MT,Malta,21.4,0.55
