petal_length,petal_width,sepal_length,sepal_width,species
4.24,3.54,2.03,0.12,violet
5.05,3.49,1.47,0.37,violet
5.03,3.48,1.53,-0.03,violet
4.61,3.77,1.61,0.4,violet
5.44,3.6,1.71,0.11,violet
5.01,3.18,1.43,0.34,violet
4.16,3.42,1.82,0.41,violet
4.64,3.32,0.77,0.04,violet
5.21,3.64,1.06,0.41,violet
5.17,3.34,2.35,-0.19,violet
4.97,3.43,2.33,0.48,violet
5.88,3.42,1.88,0.41,violet
5.2,3.44,1.43,0.14,violet
4.52,3.63,1.33,-0.12,violet
5.1,3.4,1.57,0.48,violet
4.96,3.37,1.21,0.2,violet
4.83,3.42,2.71,0.26,violet
4.67,3.63,1.84,0.33,violet
5.28,3.5,1.76,0.42,violet
5.39,3.56,1.3,0.2,violet
4.72,3.51,1.82,0.13,violet
5.23,3.71,1.98,0.03,violet
4.96,3.47,1.49,0.26,violet
5.46,3.44,1.07,0.31,violet
4.96,3.41,1.28,-0.02,violet
4.51,3.36,1.08,-0.22,violet
5.45,3.26,1.22,0.28,violet
4.06,3.56,1.2,0.3,violet
4.81,3.44,1.54,0.2,violet
4.29,3.23,1.48,0.42,violet
4.79,3.46,1.56,0.28,violet
5.39,3.22,1.61,0.17,violet
4.88,3.3,1.19,0.04,violet
4.57,3.69,2.16,0.2,violet
5.29,3.29,0.42,-0.08,violet
5.06,3.57,1.48,0.04,violet
4.91,3.28,0.96,0.16,violet
4.84,3.31,1.15,0.05,violet
5.09,3.56,1.42,0.55,violet
4.37,3.43,1.05,0.17,violet
5.04,3.47,1.94,0.11,violet
4.52,3.38,1.61,0.09,violet
5.35,3.6,0.95,0.26,violet
5.4,3.18,1.58,0.16,violet
4.45,3.55,1.58,0.13,violet
5.17,3.48,1.8,0.29,violet
5.16,3.26,1.34,0.22,violet
3.92,3.65,1.35,0.04,violet
4.29,3.43,1.51,0.11,violet
4.84,3.3,1.21,0.18,violet
5.72,2.89,4.44,1.32,amber
6.18,2.97,4.76,1.34,amber
5.93,2.69,4.35,1.42,amber
6.1,2.75,3.92,1.03,amber
6.14,2.94,4.66,1.06,amber
5.91,2.83,4.1,1.36,amber
5.91,2.69,3.96,1.44,amber
6.16,2.68,4.06,1.46,amber
6.26,2.76,5.2,1.25,amber
5.54,2.94,4.42,1.36,amber
6.02,2.67,3.98,1.27,amber
6.62,2.67,5.1,1.34,amber
5.51,2.84,4.75,1.14,amber
5.07,2.85,4.01,1.38,amber
5.16,2.78,4.15,1.04,amber
5.89,2.82,4.26,1.09,amber
6.09,2.57,4.73,1.39,amber
6.73,2.92,4.66,1.35,amber
6.01,2.63,5.14,1.39,amber
5.87,2.65,5.15,1.39,amber
5.48,2.89,5.33,1.3,amber
6.17,2.75,4.23,1.49,amber
7.35,2.82,4.45,1.44,amber
5.87,2.9,4.86,1.12,amber
5.53,2.79,4.86,1.35,amber
6.54,2.62,4.72,1.19,amber
6.04,2.84,4.08,1.26,amber
5.49,2.83,4.13,1.21,amber
6.1,2.71,5.0,1.19,amber
6.37,2.84,4.05,1.26,amber
5.63,2.75,4.38,1.62,amber
5.82,3.01,4.7,1.07,amber
4.99,2.89,3.63,1.43,amber
6.45,2.85,4.41,1.26,amber
6.11,2.76,4.27,1.24,amber
6.51,2.72,4.67,1.1,amber
5.69,2.62,4.41,1.42,amber
6.13,2.74,4.77,1.24,amber
6.16,2.84,4.74,0.87,amber
5.43,2.9,4.45,1.69,amber
5.9,2.73,5.15,1.4,amber
6.83,2.87,4.41,1.43,amber
5.66,2.74,4.26,1.26,amber
6.34,2.74,4.64,1.21,amber
6.38,2.44,4.41,1.33,amber
5.53,2.93,4.59,1.52,amber
6.42,2.88,4.43,1.11,amber
5.9,2.74,4.61,1.22,amber
7.33,2.59,5.01,1.22,amber
5.89,2.92,4.5,1.09,amber
6.7,2.97,4.51,2.04,marigold
5.99,2.89,5.73,2.06,marigold
6.36,3.31,5.7,1.88,marigold
6.61,2.98,4.44,1.7,marigold
5.83,3.3,5.41,1.95,marigold
6.23,3.14,5.51,2.33,marigold
6.88,3.24,5.44,2.07,marigold
6.29,2.98,4.67,1.89,marigold
6.04,2.91,6.09,2.05,marigold
7.09,3.12,5.94,2.19,marigold
6.21,3.12,5.34,1.9,marigold
7.08,3.31,5.03,2.33,marigold
6.9,2.88,5.63,2.07,marigold
6.68,2.95,4.88,2.01,marigold
6.92,3.11,5.82,2.21,marigold
6.02,2.99,5.66,2.19,marigold
6.58,3.07,5.56,2.4,marigold
5.45,3.0,6.69,2.05,marigold
5.62,3.02,4.81,1.87,marigold
6.61,3.25,5.72,2.13,marigold
6.99,3.03,5.09,1.98,marigold
6.66,2.96,5.18,1.93,marigold
5.78,2.85,5.46,1.93,marigold
6.52,3.2,5.64,1.99,marigold
5.94,2.84,5.68,1.83,marigold
6.71,2.84,5.56,1.99,marigold
6.98,2.94,5.32,2.05,marigold
6.53,3.24,5.38,1.9,marigold
6.35,3.07,5.61,2.13,marigold
5.83,3.36,6.39,1.99,marigold
5.92,3.02,5.7,1.57,marigold
6.51,2.79,5.72,2.27,marigold
7.0,2.78,6.16,2.17,marigold
6.33,3.07,6.23,1.94,marigold
6.49,2.92,6.06,1.59,marigold
7.18,2.86,5.95,1.69,marigold
6.05,2.91,5.9,1.69,marigold
6.79,2.91,6.1,1.94,marigold
6.73,2.98,6.36,1.93,marigold
6.49,3.29,5.54,2.13,marigold
6.15,3.03,4.41,2.02,marigold
6.19,2.78,4.82,2.22,marigold
6.71,2.78,6.37,1.87,marigold
6.32,3.04,4.95,1.69,marigold
6.14,3.17,5.96,1.7,marigold
7.08,3.0,5.74,2.01,marigold
6.7,2.86,5.06,1.86,marigold
6.32,3.09,4.91,2.31,marigold
6.2,2.92,5.84,2.08,marigold
6.34,2.85,5.02,1.69,marigold
