incident_id,occurred_at,incident_type,severity,latitude,longitude
INC-000001,2024-07-11T23:55:14,theft-from-vehicle,medium,37.71332,-122.244242
INC-000002,2025-02-03T11:56:32,theft-from-vehicle,low,39.675772,-105.004439
INC-000003,2025-04-16T11:23:12,drug-violation,medium,47.590673,-122.341651
INC-000004,2026-04-22T09:55:33,burglary,high,37.668244,-122.272337
INC-000005,2025-02-17T01:32:18,vehicle-theft,low,39.672475,-105.101136
INC-000006,2025-12-01T16:12:49,other,low,34.010482,-118.391889
INC-000007,2024-05-26T18:46:40,other,low,34.078515,-118.450155
INC-000008,2026-02-25T07:42:12,other,medium,41.961873,-87.463717
INC-000009,2026-02-18T21:09:17,fraud,medium,41.982357,-87.448446
INC-000010,2025-10-04T13:34:31,theft-from-vehicle,low,37.689364,-122.346062
INC-000011,2026-01-15T09:22:30,vandalism,medium,34.038678,-118.210988
INC-000012,2025-04-05T11:27:40,theft-from-vehicle,low,40.809788,-74.11105
INC-000013,2025-07-26T21:59:55,drug-violation,low,41.862713,-87.758012
INC-000014,2026-01-14T09:36:38,vandalism,low,37.681749,-122.497509
INC-000015,2024-07-02T01:32:26,vehicle-theft,low,30.163392,-97.756975
INC-000016,2024-11-09T08:14:08,assault,medium,25.753454,-80.110844
INC-000017,2024-07-30T17:40:59,drug-violation,low,34.003015,-118.142435
INC-000018,2026-03-27T21:20:26,vandalism,medium,47.512514,-122.488445
INC-000019,2024-12-07T04:32:19,vandalism,medium,40.644077,-74.15781
INC-000020,2024-10-04T10:50:25,theft-from-vehicle,low,47.563958,-122.59061
INC-000021,2024-07-06T16:05:59,assault,low,34.116855,-118.142089
INC-000022,2025-10-06T13:08:03,other,low,34.037263,-118.03108
INC-000023,2025-10-09T01:15:04,vandalism,low,41.742382,-87.668158
INC-000024,2025-10-17T17:11:58,burglary,low,41.947527,-87.656081
INC-000025,2026-04-23T03:29:55,other,low,30.372376,-97.668945
INC-000026,2024-08-18T02:15:44,vandalism,low,41.89681,-87.486493
INC-000027,2025-07-22T06:05:17,robbery,medium,33.973882,-118.201738
INC-000028,2025-01-19T08:54:21,theft-from-vehicle,low,34.120225,-118.126248
INC-000029,2024-05-30T02:17:07,fraud,medium,37.798774,-122.284275
INC-000030,2024-05-07T10:02:32,fraud,medium,34.079932,-118.346998
INC-000031,2025-01-13T18:43:21,other,low,37.836257,-122.311642
INC-000032,2024-06-04T18:50:52,other,low,41.791085,-87.617146
INC-000033,2024-08-10T15:29:40,vandalism,medium,47.739841,-122.344568
INC-000034,2026-04-18T19:38:52,assault,medium,37.91295,-122.312551
INC-000035,2024-06-21T12:29:22,burglary,high,40.773656,-74.063863
INC-000036,2026-01-25T18:57:16,vandalism,medium,40.575932,-73.962087
INC-000037,2024-12-11T07:10:17,drug-violation,high,25.664846,-80.080604
INC-000038,2024-06-27T00:57:15,drug-violation,low,41.827524,-87.402932
INC-000039,2025-03-23T22:38:53,fraud,low,37.799112,-122.570306
INC-000040,2024-05-02T03:29:31,vandalism,medium,34.026426,-118.052354
INC-000041,2025-10-26T03:26:43,theft-from-vehicle,medium,41.766646,-87.5032
INC-000042,2025-01-03T21:06:24,burglary,medium,37.710356,-122.357864
INC-000043,2024-07-05T17:10:29,drug-violation,medium,40.812111,-73.893624
INC-000044,2026-02-01T12:18:23,fraud,high,25.656364,-80.18363
INC-000045,2025-10-20T21:17:51,drug-violation,low,37.808879,-122.493268
INC-000046,2024-12-17T05:16:46,theft-from-vehicle,low,30.181541,-97.775632
INC-000047,2025-06-22T05:57:00,fraud,medium,25.832933,-80.158978
INC-000048,2024-10-03T15:51:06,theft-from-vehicle,low,37.856433,-122.615125
INC-000049,2025-05-23T22:26:10,theft-from-vehicle,low,47.655402,-122.427989
INC-000050,2024-05-12T14:33:27,theft-from-vehicle,low,34.162889,-118.23401
INC-000051,2024-08-30T18:41:37,burglary,low,40.663004,-74.185614
INC-000052,2025-09-01T01:29:20,drug-violation,low,37.689575,-122.231922
INC-000053,2025-08-29T17:54:01,fraud,low,40.675368,-73.975632
INC-000054,2025-11-04T09:41:01,vandalism,low,33.985629,-118.173097
INC-000055,2024-05-23T05:47:21,burglary,low,33.912159,-118.185484
INC-000056,2025-02-13T07:31:50,drug-violation,medium,34.097528,-118.283862
INC-000057,2026-03-15T15:27:51,burglary,low,25.650521,-80.096033
INC-000058,2025-07-21T14:07:17,vehicle-theft,low,41.758857,-87.497752
INC-000059,2025-02-15T01:30:05,other,medium,34.192633,-118.173263
INC-000060,2026-01-23T05:43:51,fraud,low,34.065296,-118.429666
INC-000061,2025-07-11T15:54:49,theft-from-vehicle,low,30.357472,-97.809005
INC-000062,2025-05-17T11:26:42,vandalism,low,41.98485,-87.590957
INC-000063,2024-09-17T04:23:13,other,low,37.815032,-122.282944
INC-000064,2024-12-14T13:52:53,theft-from-vehicle,low,40.646123,-74.093156
INC-000065,2024-06-29T12:23:00,vehicle-theft,low,47.455174,-122.419602
INC-000066,2025-07-18T23:26:39,drug-violation,low,47.605854,-122.33254
INC-000067,2025-09-18T16:48:23,vandalism,low,25.899367,-80.078015
INC-000068,2025-03-15T16:14:13,theft-from-vehicle,medium,41.891851,-87.671485
INC-000069,2024-05-23T02:24:55,vehicle-theft,medium,47.706576,-122.197537
INC-000070,2026-02-26T04:47:36,robbery,high,30.275033,-97.773669
INC-000071,2025-03-13T21:09:28,theft-from-vehicle,high,39.880058,-104.944607
INC-000072,2025-02-07T15:35:09,theft-from-vehicle,low,37.606216,-122.468446
INC-000073,2025-09-10T09:30:55,vandalism,low,40.720971,-73.951648
INC-000074,2025-01-02T15:45:22,burglary,low,37.79332,-122.302184
INC-000075,2024-07-25T04:50:53,theft-from-vehicle,low,30.359792,-97.592908
INC-000076,2024-08-26T17:38:40,robbery,low,30.09918,-97.722201
INC-000077,2026-03-21T06:50:21,theft-from-vehicle,low,37.847114,-122.620342
INC-000078,2025-02-08T21:53:30,burglary,low,42.024371,-87.530283
INC-000079,2024-06-24T23:34:04,vandalism,high,40.701041,-74.079936
INC-000080,2026-03-26T18:20:52,fraud,medium,37.655877,-122.476491
INC-000081,2025-04-16T14:30:38,theft-from-vehicle,medium,33.910147,-118.207071
