listing_id,address,city,state,zip_code,latitude,longitude,property_type,beds,baths,sqft,year_built,list_price_usd,list_status,listed_at
LIST-000001,8938 Forest Dr,Chicago,IL,83563,41.872521,-87.582552,single-family,2,2,1971,1911,325000,sold,2024-05-21
LIST-000002,6234 Cedar Way,Seattle,WA,54118,47.687137,-122.461067,condo,1,1,1058,1943,315000,active,2025-12-15
LIST-000003,1149 Oak Dr,Miami,FL,85674,25.823175,-80.373728,condo,0,1,825,2006,325000,sold,2025-02-05
LIST-000004,4384 Spring Ave,Miami,FL,56566,25.899071,-80.387633,townhouse,3,2,2050,1958,685000,pending,2025-02-12
LIST-000005,535 Autumn Way,Chicago,IL,17331,41.865915,-87.753863,single-family,5,4,2955,1971,620000,pending,2025-12-18
LIST-000006,4050 Summer Ln,Seattle,WA,28726,47.655726,-122.376711,condo,2,3,1071,1963,365000,withdrawn,2025-04-22
LIST-000007,6314 River Pl,Austin,TX,65333,30.139622,-97.828629,single-family,3,2,2256,1914,400000,active,2025-10-11
LIST-000008,4325 Madison Blvd,Denver,CO,30730,39.881509,-105.211788,single-family,2,1,2200,1998,720000,active,2025-04-03
LIST-000009,8015 Maple Ave,Denver,CO,10074,39.687347,-105.057987,townhouse,4,4,2088,1969,700000,withdrawn,2026-04-14
LIST-000010,8737 Winter Blvd,New York,NY,73699,40.816441,-74.248665,single-family,2,2,2933,2012,1635000,active,2025-11-20
LIST-000011,6128 Sunset Pl,San Francisco,CA,62296,37.627169,-122.479873,single-family,6,5,3445,1996,2225000,active,2024-12-29
LIST-000012,5423 Pine Dr,San Francisco,CA,18834,37.718783,-122.304495,condo,1,1,946,1900,300000,sold,2024-10-25
LIST-000013,897 Market Ave,Los Angeles,CA,63883,33.900026,-118.289917,condo,3,4,797,1912,200000,sold,2025-03-26
LIST-000014,1245 Sunset Ave,San Francisco,CA,70637,37.834972,-122.650375,single-family,3,3,2203,1968,1140000,sold,2024-12-03
LIST-000015,4355 Autumn Pl,San Francisco,CA,10282,37.890757,-122.663633,multi-family,5,5,2437,2010,1420000,active,2025-02-19
LIST-000016,5148 Oak St,Los Angeles,CA,81066,34.029232,-118.468882,condo,3,4,1290,1937,385000,active,2025-11-23
LIST-000017,9750 Oak Ave,Chicago,IL,84668,41.97417,-87.801156,single-family,6,6,2234,1908,450000,active,2024-08-02
LIST-000018,1198 Maple Pl,Seattle,WA,49321,47.435891,-122.368508,townhouse,2,1,1578,1930,440000,active,2025-09-14
LIST-000019,4966 Washington St,Chicago,IL,67433,42.01483,-87.496413,single-family,6,5,2474,1908,545000,pending,2024-08-31
LIST-000020,3460 Spring Way,Austin,TX,45697,30.419744,-97.823843,single-family,3,2,2511,1914,630000,sold,2024-08-29
LIST-000021,7249 Jefferson Ct,Los Angeles,CA,44335,34.03646,-118.028046,single-family,2,2,1350,1905,310000,sold,2025-09-07
LIST-000022,5984 Autumn St,Chicago,IL,26704,41.948987,-87.664042,condo,1,1,678,2006,170000,sold,2025-03-30
LIST-000023,416 Elm Way,New York,NY,33206,40.713105,-73.869811,single-family,6,5,3084,2018,2035000,sold,2026-01-12
LIST-000024,7551 Lake Ln,Miami,FL,71694,25.692005,-80.332371,condo,1,2,1018,2000,405000,pending,2024-05-31
LIST-000025,462 Cedar Ln,Miami,FL,80282,25.797294,-79.961733,condo,3,4,1615,1935,430000,sold,2025-10-10
LIST-000026,9456 Walnut Ln,San Francisco,CA,25157,37.753461,-122.141165,single-family,5,4,920,1993,600000,sold,2025-06-02
LIST-000027,6701 Park Ct,San Francisco,CA,49363,37.627337,-122.442889,condo,1,2,1501,1942,760000,sold,2024-08-05
LIST-000028,4988 Valley Dr,Austin,TX,81819,30.327128,-97.561752,condo,3,3,1288,2015,335000,sold,2025-03-12
LIST-000029,5501 Pine Dr,Seattle,WA,47196,47.509527,-122.542247,single-family,5,5,1036,2022,515000,active,2024-07-05
LIST-000030,6301 Sunrise Ct,Austin,TX,92544,30.300742,-97.625763,single-family,3,2,2025,1978,645000,active,2025-03-18
