sale_id,listing_id,sale_date,sale_price_usd,days_on_market,agent_id,financing
SALE-000001,LIST-000225,2025-09-30,382000,62,AGT-0571,conventional
SALE-000002,LIST-000503,2026-04-24,627000,52,AGT-0379,conventional
SALE-000003,LIST-002607,2026-02-26,493000,37,AGT-0620,other
SALE-000004,LIST-003332,2024-06-20,123000,35,AGT-0111,fha
SALE-000005,LIST-002224,2024-12-05,1690000,24,AGT-0721,conventional
SALE-000006,LIST-003837,2024-08-25,606000,74,AGT-0417,cash
SALE-000007,LIST-000258,2025-10-31,559000,18,AGT-0142,fha
SALE-000008,LIST-003193,2025-11-08,317000,59,AGT-0215,fha
SALE-000009,LIST-003804,2025-10-19,541000,41,AGT-0394,conventional
SALE-000010,LIST-000541,2025-03-11,734000,12,AGT-0070,conventional
SALE-000011,LIST-001750,2026-04-29,483000,53,AGT-0215,fha
SALE-000012,LIST-000070,2026-01-09,854000,41,AGT-0074,fha
SALE-000013,LIST-001433,2024-05-20,1381000,19,AGT-0770,cash
SALE-000014,LIST-001976,2024-09-28,885000,82,AGT-0547,conventional
SALE-000015,LIST-000213,2025-11-02,636000,43,AGT-0506,fha
SALE-000016,LIST-001663,2026-04-25,553000,41,AGT-0023,conventional
SALE-000017,LIST-003585,2025-07-02,785000,67,AGT-0458,conventional
SALE-000018,LIST-003538,2026-04-26,419000,68,AGT-0181,conventional
SALE-000019,LIST-001809,2025-07-14,1140000,92,AGT-0222,conventional
SALE-000020,LIST-002326,2024-09-28,278000,1,AGT-0032,conventional
SALE-000021,LIST-004939,2024-10-18,798000,50,AGT-0019,conventional
SALE-000022,LIST-003201,2024-07-03,273000,38,AGT-0229,fha
SALE-000023,LIST-002582,2025-11-22,734000,44,AGT-0178,conventional
SALE-000024,LIST-004991,2024-10-02,237000,31,AGT-0378,conventional
SALE-000025,LIST-000516,2025-07-09,365000,50,AGT-0077,conventional
SALE-000026,LIST-000321,2024-12-25,497000,45,AGT-0553,cash
SALE-000027,LIST-002109,2025-06-26,272000,23,AGT-0418,conventional
SALE-000028,LIST-003431,2025-10-07,903000,30,AGT-0251,conventional
SALE-000029,LIST-000302,2026-04-10,675000,39,AGT-0066,va
SALE-000030,LIST-001637,2025-03-20,662000,79,AGT-0367,fha
SALE-000031,LIST-002060,2024-12-08,987000,46,AGT-0064,cash
SALE-000032,LIST-003511,2024-09-25,1067000,29,AGT-0586,fha
SALE-000033,LIST-004428,2024-09-21,416000,67,AGT-0378,cash
SALE-000034,LIST-003518,2025-04-02,1442000,55,AGT-0475,conventional
