school_id,school_name,city,state,school_type,rating_1_10,enrollment,latitude,longitude
SCH-00001,River K-12 School,Denver,CO,K-12,9,270,39.517508,-104.941755
SCH-00002,Spring Middle School,Los Angeles,CA,middle,7,277,34.099281,-118.032252
SCH-00003,Ridge High School,New York,NY,high,10,537,40.643831,-74.200515
SCH-00004,Sunset Middle School,Miami,FL,middle,7,835,25.892231,-80.098969
SCH-00005,Sunset Elementary School,New York,NY,elementary,5,289,40.617863,-74.260928
SCH-00006,Lincoln Elementary School,San Francisco,CA,elementary,8,694,37.997016,-122.415682
SCH-00007,Lincoln Elementary School,Austin,TX,elementary,5,736,30.086914,-97.924308
SCH-00008,Park High School,Seattle,WA,high,6,594,47.512467,-121.997596
SCH-00009,Birch Charter School,Denver,CO,charter,10,911,39.954076,-105.174344
SCH-00010,Winter High School,San Francisco,CA,high,7,687,38.012729,-122.535352
SCH-00011,Mission High School,Miami,FL,high,4,432,25.74744,-80.358511
SCH-00012,Pine Elementary School,Austin,TX,elementary,6,512,30.207503,-97.574819
SCH-00013,Birch Elementary School,Los Angeles,CA,elementary,6,344,34.205305,-118.075326
SCH-00014,Birch Elementary School,San Francisco,CA,elementary,9,540,37.584986,-122.376012
SCH-00015,Hill High School,Chicago,IL,high,9,175,41.946496,-87.695903
SCH-00016,Forest K-12 School,Chicago,IL,K-12,8,480,41.824849,-87.654914
SCH-00017,Ridge Elementary School,Austin,TX,elementary,7,768,30.229273,-98.002761
SCH-00018,Market Charter School,San Francisco,CA,charter,4,634,37.596422,-122.182409
SCH-00019,Cedar Elementary School,Austin,TX,elementary,9,765,30.467626,-97.725629
SCH-00020,Winter Elementary School,Seattle,WA,elementary,7,699,47.382332,-122.146361
SCH-00021,River Elementary School,Denver,CO,elementary,7,766,39.744432,-104.689785
SCH-00022,Jefferson Elementary School,Miami,FL,elementary,5,142,25.731269,-80.48198
SCH-00023,Madison K-12 School,New York,NY,K-12,8,443,40.750957,-74.005181
SCH-00024,Jefferson High School,New York,NY,high,9,257,40.862466,-73.826017
SCH-00025,Ridge High School,New York,NY,high,9,689,40.79682,-73.885866
SCH-00026,Cedar Elementary School,Los Angeles,CA,elementary,9,637,33.860342,-118.377624
SCH-00027,Madison Elementary School,Los Angeles,CA,elementary,8,724,33.926069,-118.265963
SCH-00028,Hill Elementary School,Chicago,IL,elementary,8,164,41.85672,-87.946964
SCH-00029,Valley High School,Miami,FL,high,7,743,25.745995,-80.119425
SCH-00030,Madison Charter School,Miami,FL,charter,7,553,25.624945,-80.41807
SCH-00031,Pine Elementary School,San Francisco,CA,elementary,8,443,37.679116,-122.348535
SCH-00032,River Elementary School,Los Angeles,CA,elementary,8,395,34.228752,-118.092849
SCH-00033,Oak K-12 School,San Francisco,CA,K-12,8,376,37.973884,-122.552364
SCH-00034,Oak Middle School,Chicago,IL,middle,9,206,41.773551,-87.502283
SCH-00035,Lake Middle School,San Francisco,CA,middle,6,701,38.035526,-122.447321
SCH-00036,Birch Elementary School,Seattle,WA,elementary,6,347,47.410183,-122.592728
SCH-00037,Lincoln High School,Chicago,IL,high,6,467,42.012854,-87.832629
SCH-00038,River Middle School,New York,NY,middle,7,714,40.805419,-73.951471
SCH-00039,Jefferson Elementary School,Chicago,IL,elementary,6,635,41.957334,-87.535202
SCH-00040,Ridge Elementary School,Los Angeles,CA,elementary,6,467,34.070456,-118.202747
SCH-00041,Forest Elementary School,Chicago,IL,elementary,10,774,41.753707,-87.888999
SCH-00042,Autumn Charter School,Los Angeles,CA,charter,8,598,34.297209,-118.234556
SCH-00043,Oak Middle School,Chicago,IL,middle,10,508,41.915149,-87.981851
SCH-00044,Valley K-12 School,San Francisco,CA,K-12,5,240,37.88191,-122.575642
SCH-00045,Elm Middle School,Seattle,WA,middle,10,449,47.703991,-122.596314
SCH-00046,Lake High School,Los Angeles,CA,high,8,305,33.910213,-118.112783
SCH-00047,Washington Elementary School,Seattle,WA,elementary,10,1116,47.407387,-122.53071
SCH-00048,Madison Middle School,Chicago,IL,middle,8,1094,41.784288,-87.774518
SCH-00049,Lincoln Elementary School,Denver,CO,elementary,5,447,39.665568,-105.005782
SCH-00050,Spring K-12 School,Los Angeles,CA,K-12,5,182,33.940797,-118.498638
SCH-00051,Ridge Elementary School,Los Angeles,CA,elementary,6,226,34.109854,-118.138107
SCH-00052,Autumn Elementary School,Miami,FL,elementary,7,617,25.669965,-80.334336
SCH-00053,Walnut Charter School,Denver,CO,charter,7,637,39.49597,-105.137921
SCH-00054,Cedar Middle School,Seattle,WA,middle,7,438,47.558255,-122.529797
SCH-00055,Autumn Elementary School,Chicago,IL,elementary,8,142,41.688805,-87.389764
SCH-00056,Valley Elementary School,New York,NY,elementary,5,295,40.676168,-74.133563
SCH-00057,Madison Elementary School,Austin,TX,elementary,5,475,30.325972,-97.841728
SCH-00058,Sunset Elementary School,Chicago,IL,elementary,7,415,41.772346,-87.448864
SCH-00059,Oak Charter School,Seattle,WA,charter,7,518,47.581287,-122.030415
SCH-00060,Autumn Middle School,San Francisco,CA,middle,7,498,37.579085,-122.466752
SCH-00061,Madison Elementary School,Los Angeles,CA,elementary,10,761,33.845563,-118.054325
SCH-00062,Forest Elementary School,San Francisco,CA,elementary,6,686,37.790398,-122.146473
SCH-00063,Ridge High School,San Francisco,CA,high,9,711,37.586007,-122.503485
SCH-00064,Sunrise High School,San Francisco,CA,high,8,1069,37.907435,-122.669656
SCH-00065,Lake Elementary School,Los Angeles,CA,elementary,6,900,34.224147,-118.439172
SCH-00066,Mission Elementary School,San Francisco,CA,elementary,9,695,37.639831,-122.593962
SCH-00067,Pine High School,Seattle,WA,high,8,510,47.769977,-122.17769
SCH-00068,Lake Charter School,New York,NY,charter,8,551,40.523483,-74.084297
SCH-00069,Walnut Middle School,Seattle,WA,middle,6,241,47.56582,-122.651567
SCH-00070,Spring High School,Chicago,IL,high,8,429,41.850676,-87.812937
SCH-00071,Pine Elementary School,Los Angeles,CA,elementary,5,718,34.025688,-118.020196
SCH-00072,Ridge Middle School,Seattle,WA,middle,6,501,47.706381,-122.635085
SCH-00073,Lake Elementary School,Seattle,WA,elementary,4,690,47.739611,-122.248676
SCH-00074,Park Elementary School,New York,NY,elementary,5,748,40.591739,-74.2041
SCH-00075,Sunset Charter School,San Francisco,CA,charter,6,122,37.771065,-122.640731
SCH-00076,Winter Elementary School,Austin,TX,elementary,7,913,30.253687,-98.029227
SCH-00077,Spring K-12 School,Miami,FL,K-12,6,785,25.833392,-80.189063
SCH-00078,Pine Elementary School,Los Angeles,CA,elementary,8,390,34.294779,-118.360321
SCH-00079,Maple K-12 School,New York,NY,K-12,7,807,40.646713,-74.244993
SCH-00080,Pine Charter School,Los Angeles,CA,charter,7,494,33.929173,-118.237435
SCH-00081,Oak Middle School,Chicago,IL,middle,6,483,41.770758,-87.452947
SCH-00082,Sunrise Middle School,Seattle,WA,middle,8,280,47.737505,-122.604631
SCH-00083,Spring Elementary School,New York,NY,elementary,8,643,40.485733,-74.147994
SCH-00084,Lake K-12 School,Denver,CO,K-12,8,649,39.561053,-105.114385
SCH-00085,Pine Middle School,Austin,TX,middle,7,604,30.197422,-97.964818
SCH-00086,Washington Elementary School,Chicago,IL,elementary,9,159,41.970812,-87.3853
SCH-00087,Forest Elementary School,Los Angeles,CA,elementary,5,572,33.854218,-118.398099
SCH-00088,Park High School,Austin,TX,high,9,599,30.017805,-97.646181
SCH-00089,Walnut Middle School,New York,NY,middle,7,591,40.718523,-74.246638
SCH-00090,Elm Elementary School,Miami,FL,elementary,9,735,25.889044,-80.343406
SCH-00091,Sunset Elementary School,Chicago,IL,elementary,8,721,41.994756,-87.681501
SCH-00092,Market Middle School,New York,NY,middle,7,335,40.703418,-74.303009
SCH-00093,Valley Middle School,New York,NY,middle,7,420,40.593155,-73.718959
SCH-00094,Madison Elementary School,Miami,FL,elementary,8,737,25.587221,-80.384526
SCH-00095,Birch Middle School,San Francisco,CA,middle,9,60,37.831093,-122.67121
SCH-00096,Valley Elementary School,Los Angeles,CA,elementary,6,450,33.964167,-118.126492
SCH-00097,Jefferson Elementary School,Seattle,WA,elementary,9,329,47.797153,-122.130571
SCH-00098,Lake Middle School,Denver,CO,middle,6,60,39.846636,-104.70947
SCH-00099,Maple High School,Miami,FL,high,9,389,25.992543,-80.28305
SCH-00100,Lake Elementary School,Los Angeles,CA,elementary,7,522,33.967778,-118.38867
SCH-00101,Hill Middle School,San Francisco,CA,middle,8,1012,37.734035,-122.463495
SCH-00102,Autumn High School,Miami,FL,high,6,108,25.683585,-80.313042
SCH-00103,Lincoln Elementary School,Denver,CO,elementary,10,734,39.864649,-105.267339
SCH-00104,Mission High School,Los Angeles,CA,high,10,143,34.176494,-118.361795
SCH-00105,Washington Middle School,New York,NY,middle,7,233,40.926506,-73.83007
SCH-00106,Valley Elementary School,Los Angeles,CA,elementary,8,771,33.8025,-118.231129
SCH-00107,Oak Charter School,Los Angeles,CA,charter,10,516,34.273455,-118.104869
SCH-00108,Cedar Elementary School,Los Angeles,CA,elementary,8,591,33.785967,-118.296629
SCH-00109,Summer Middle School,Denver,CO,middle,9,443,39.853003,-105.206226
SCH-00110,Summer Elementary School,San Francisco,CA,elementary,10,762,37.762346,-122.635495
SCH-00111,River Middle School,New York,NY,middle,7,650,40.446878,-73.951507
SCH-00112,Elm Elementary School,Seattle,WA,elementary,5,135,47.57007,-122.095215
SCH-00113,Pine Middle School,Los Angeles,CA,middle,6,419,34.270822,-118.343983
SCH-00114,Hill Elementary School,Seattle,WA,elementary,5,722,47.478793,-122.122391
SCH-00115,Valley Elementary School,Chicago,IL,elementary,9,614,41.794564,-87.461531
SCH-00116,Lincoln High School,San Francisco,CA,high,4,594,37.67234,-122.671601
SCH-00117,Washington Middle School,Los Angeles,CA,middle,8,97,34.254068,-118.044918
SCH-00118,Park Middle School,Denver,CO,middle,8,614,39.851925,-104.696344
SCH-00119,Ridge Middle School,Los Angeles,CA,middle,8,60,34.230192,-118.017601
SCH-00120,Mission High School,New York,NY,high,4,532,40.538148,-74.064277
SCH-00121,Maple Elementary School,Denver,CO,elementary,7,312,39.977208,-105.009236
SCH-00122,Mission Elementary School,Chicago,IL,elementary,5,362,41.783553,-87.580088
SCH-00123,Autumn Elementary School,New York,NY,elementary,7,356,40.778301,-74.11351
SCH-00124,Lincoln Middle School,San Francisco,CA,middle,9,575,37.733234,-122.256181
SCH-00125,Lake High School,Miami,FL,high,8,694,25.55324,-80.024945
SCH-00126,Winter Elementary School,Seattle,WA,elementary,9,637,47.528331,-122.602739
SCH-00127,Ridge High School,San Francisco,CA,high,7,711,37.703446,-122.389859
SCH-00128,Mission Middle School,San Francisco,CA,middle,6,813,37.846494,-122.427924
SCH-00129,Sunrise Middle School,Seattle,WA,middle,9,857,47.57209,-122.338735
SCH-00130,Pine Elementary School,San Francisco,CA,elementary,9,419,38.000366,-122.238649
SCH-00131,Spring Elementary School,Los Angeles,CA,elementary,8,589,33.943198,-118.347921
SCH-00132,Madison Middle School,San Francisco,CA,middle,7,60,37.580819,-122.408387
SCH-00133,Washington Middle School,Los Angeles,CA,middle,8,481,34.097634,-118.26682
SCH-00134,Maple High School,Austin,TX,high,10,688,30.325487,-97.787663
SCH-00135,Winter High School,Austin,TX,high,9,737,30.30231,-97.997761
SCH-00136,Washington K-12 School,San Francisco,CA,K-12,6,765,37.550396,-122.299494
SCH-00137,Summer Elementary School,Austin,TX,elementary,10,357,30.121277,-97.852059
SCH-00138,Washington High School,Seattle,WA,high,7,941,47.844324,-122.280333
SCH-00139,Lincoln Elementary School,San Francisco,CA,elementary,6,779,37.838217,-122.348359
SCH-00140,Jefferson Elementary School,Chicago,IL,elementary,6,797,42.028749,-87.740796
SCH-00141,Autumn Charter School,Los Angeles,CA,charter,6,412,34.048921,-117.937658
SCH-00142,River Elementary School,New York,NY,elementary,9,312,40.546307,-74.202092
SCH-00143,Sunrise K-12 School,Los Angeles,CA,K-12,6,983,34.179203,-118.365509
SCH-00144,Hill High School,Miami,FL,high,7,461,25.860345,-80.370958
SCH-00145,Washington Charter School,San Francisco,CA,charter,7,531,37.869347,-122.102011
SCH-00146,Summer Middle School,Miami,FL,middle,6,577,25.905374,-80.35233
SCH-00147,Park High School,Seattle,WA,high,6,60,47.420225,-122.155374
SCH-00148,Sunset Middle School,Austin,TX,middle,6,262,30.515164,-97.732682
SCH-00149,Birch Middle School,Seattle,WA,middle,7,472,47.857452,-122.312518
SCH-00150,Oak High School,San Francisco,CA,high,10,168,37.646639,-122.499228
SCH-00151,Lincoln Charter School,Seattle,WA,charter,7,343,47.841865,-122.445431
SCH-00152,Sunrise Middle School,Seattle,WA,middle,10,351,47.525663,-122.357807
SCH-00153,Lincoln Middle School,Chicago,IL,middle,6,623,42.074073,-87.650778
SCH-00154,Market Elementary School,Seattle,WA,elementary,8,490,47.662776,-122.661827
SCH-00155,Cedar Elementary School,San Francisco,CA,elementary,8,243,37.507002,-122.428767
SCH-00156,Cedar Elementary School,San Francisco,CA,elementary,8,77,37.691676,-122.240224
SCH-00157,Lincoln Elementary School,New York,NY,elementary,7,658,40.654134,-74.205457
SCH-00158,Oak High School,New York,NY,high,8,840,40.702747,-73.697923
SCH-00159,Elm Charter School,Chicago,IL,charter,9,267,41.93278,-87.903417
SCH-00160,Lincoln Elementary School,Los Angeles,CA,elementary,6,454,34.107404,-118.409269
SCH-00161,Jefferson Charter School,Los Angeles,CA,charter,10,651,33.926988,-118.183672
SCH-00162,Jefferson Elementary School,Miami,FL,elementary,6,612,25.773924,-80.164514
SCH-00163,Madison Elementary School,Los Angeles,CA,elementary,8,388,33.963575,-118.509841
SCH-00164,Winter Charter School,Seattle,WA,charter,8,213,47.675288,-122.223915
SCH-00165,Market Elementary School,Los Angeles,CA,elementary,9,444,33.843179,-118.273143
SCH-00166,Forest Elementary School,Chicago,IL,elementary,6,459,41.801626,-87.668905
SCH-00167,Market Elementary School,Los Angeles,CA,elementary,6,1103,34.2644,-118.413867
SCH-00168,Oak Middle School,Los Angeles,CA,middle,5,560,34.122336,-117.974415
SCH-00169,Sunset Middle School,New York,NY,middle,10,563,40.485039,-74.018738
SCH-00170,Lincoln High School,Austin,TX,high,9,646,30.324369,-97.585028
SCH-00171,Washington Elementary School,Los Angeles,CA,elementary,7,386,34.067924,-117.995112
SCH-00172,Cedar High School,Los Angeles,CA,high,6,724,33.888235,-118.235476
SCH-00173,Autumn High School,Denver,CO,high,7,722,39.656258,-104.866437
SCH-00174,Cedar Elementary School,Los Angeles,CA,elementary,6,747,33.983822,-118.107444
SCH-00175,Hill Elementary School,Los Angeles,CA,elementary,9,421,34.198273,-117.994234
SCH-00176,Washington Middle School,Los Angeles,CA,middle,8,587,33.990511,-118.269128
SCH-00177,Lake Elementary School,Los Angeles,CA,elementary,8,796,34.060281,-118.138131
SCH-00178,Sunrise Middle School,Denver,CO,middle,8,711,39.501605,-105.091571
SCH-00179,River Elementary School,New York,NY,elementary,6,499,40.811375,-73.917278
SCH-00180,Valley Elementary School,New York,NY,elementary,9,907,40.737314,-73.92746
SCH-00181,Oak Middle School,Austin,TX,middle,8,300,30.039379,-97.882943
SCH-00182,Summer High School,Chicago,IL,high,6,536,42.054302,-87.555337
SCH-00183,Maple Charter School,Chicago,IL,charter,7,324,41.699886,-87.864255
SCH-00184,River Elementary School,Los Angeles,CA,elementary,5,550,33.957868,-118.268432
SCH-00185,Summer Elementary School,Denver,CO,elementary,8,499,39.665033,-105.278128
SCH-00186,Madison Elementary School,Austin,TX,elementary,7,936,30.44014,-97.733655
SCH-00187,Forest High School,Miami,FL,high,9,798,25.767009,-79.947476
SCH-00188,Summer Middle School,New York,NY,middle,7,276,40.947498,-74.087058
SCH-00189,Jefferson High School,New York,NY,high,8,529,40.714407,-73.882607
SCH-00190,Forest Elementary School,Seattle,WA,elementary,7,789,47.614953,-122.092094
SCH-00191,Market High School,Los Angeles,CA,high,7,433,33.898824,-118.285632
SCH-00192,Jefferson Elementary School,Seattle,WA,elementary,7,1002,47.727922,-122.57854
SCH-00193,Washington Elementary School,Chicago,IL,elementary,6,442,41.849093,-87.566541
SCH-00194,River K-12 School,New York,NY,K-12,9,666,40.72736,-74.295986
SCH-00195,Autumn Elementary School,Chicago,IL,elementary,6,731,41.790261,-87.308108
SCH-00196,Oak High School,Los Angeles,CA,high,8,493,34.23633,-118.164909
SCH-00197,Cedar Elementary School,Austin,TX,elementary,5,1139,30.349403,-97.803817
SCH-00198,Madison Middle School,Miami,FL,middle,6,195,25.579347,-80.241768
SCH-00199,Cedar Middle School,New York,NY,middle,6,203,40.622883,-74.286459
SCH-00200,Maple Middle School,Los Angeles,CA,middle,8,231,34.205144,-118.408184
SCH-00201,Mission Middle School,San Francisco,CA,middle,6,1013,37.579653,-122.544183
SCH-00202,Ridge High School,San Francisco,CA,high,10,460,37.738977,-122.081642
SCH-00203,Cedar Elementary School,San Francisco,CA,elementary,8,473,37.527727,-122.390527
SCH-00204,Oak Charter School,Chicago,IL,charter,7,506,41.775261,-87.458899
SCH-00205,Sunset High School,Chicago,IL,high,9,860,42.119873,-87.699315
SCH-00206,Birch Elementary School,Miami,FL,elementary,9,523,25.888661,-80.321846
SCH-00207,Spring Elementary School,San Francisco,CA,elementary,7,638,37.700085,-122.74072
SCH-00208,Mission Elementary School,Los Angeles,CA,elementary,4,290,34.247198,-118.424965
SCH-00209,Valley Middle School,Chicago,IL,middle,7,507,41.943049,-87.552755
SCH-00210,Park Middle School,Denver,CO,middle,8,198,39.688712,-104.738313
SCH-00211,Pine Elementary School,San Francisco,CA,elementary,8,380,37.93787,-122.195932
SCH-00212,Park Middle School,Seattle,WA,middle,4,60,47.356864,-122.217644
SCH-00213,Sunset High School,Chicago,IL,high,7,659,41.898048,-87.308708
SCH-00214,Market Elementary School,Denver,CO,elementary,7,259,39.852013,-105.23175
SCH-00215,Spring Elementary School,New York,NY,elementary,9,752,40.744705,-74.288971
SCH-00216,Winter High School,Denver,CO,high,8,725,39.78893,-105.143121
SCH-00217,Jefferson Elementary School,Los Angeles,CA,elementary,8,714,34.29378,-118.16179
SCH-00218,Washington Charter School,Seattle,WA,charter,8,509,47.750547,-122.336306
SCH-00219,Ridge Elementary School,Miami,FL,elementary,9,587,25.713171,-80.028827
SCH-00220,Madison Middle School,San Francisco,CA,middle,9,737,37.812669,-122.44356
SCH-00221,Mission Middle School,Denver,CO,middle,7,614,39.778026,-104.884161
SCH-00222,Mission High School,Denver,CO,high,10,656,39.632975,-105.037934
SCH-00223,Market K-12 School,Chicago,IL,K-12,8,497,42.084625,-87.692031
SCH-00224,Lincoln High School,New York,NY,high,8,165,40.774871,-73.826659
