date,region,product,orders,revenue
2025-01-01,NA,📱 Mobile,18,15052.04
2025-01-01,NA,💻 Laptop,22,28767.12
2025-01-01,NA,🎧 Audio,15,3252.75
2025-01-01,NA,🖥 Desktop,18,21648.18
2025-01-01,EU,📱 Mobile,21,14632.07
2025-01-01,EU,💻 Laptop,18,23684.78
2025-01-01,EU,🎧 Audio,9,1996.07
2025-01-01,EU,🖥 Desktop,20,22007.32
2025-01-01,APAC,📱 Mobile,7,5729.53
2025-01-01,APAC,💻 Laptop,7,10174.54
2025-01-01,APAC,🎧 Audio,13,3599.51
2025-01-01,APAC,🖥 Desktop,12,13491.11
2025-01-01,LATAM,📱 Mobile,9,6786.32
2025-01-01,LATAM,💻 Laptop,9,14780.31
2025-01-01,LATAM,🎧 Audio,10,2604.19
2025-01-01,LATAM,🖥 Desktop,11,12694.69
2025-01-02,NA,📱 Mobile,18,12497.48
2025-01-02,NA,💻 Laptop,19,25985.95
2025-01-02,NA,🎧 Audio,17,4013.04
2025-01-02,NA,🖥 Desktop,15,18462.03
2025-01-02,EU,📱 Mobile,13,11318.46
2025-01-02,EU,💻 Laptop,18,28611.85
2025-01-02,EU,🎧 Audio,17,4282.13
2025-01-02,EU,🖥 Desktop,22,29371.09
2025-01-02,APAC,📱 Mobile,12,10982.9
2025-01-02,APAC,💻 Laptop,10,13281.3
2025-01-02,APAC,🎧 Audio,8,1791.19
2025-01-02,APAC,🖥 Desktop,15,17940.4
2025-01-02,LATAM,📱 Mobile,12,10361.96
2025-01-02,LATAM,💻 Laptop,9,13795.76
2025-01-02,LATAM,🎧 Audio,10,2646.47
2025-01-02,LATAM,🖥 Desktop,7,8637.81
2025-01-03,NA,📱 Mobile,15,13223.88
2025-01-03,NA,💻 Laptop,17,28901.81
2025-01-03,NA,🎧 Audio,12,2604.6
2025-01-03,NA,🖥 Desktop,21,26723.28
2025-01-03,EU,📱 Mobile,9,7895.36
2025-01-03,EU,💻 Laptop,6,8418.41
2025-01-03,EU,🎧 Audio,12,2570.31
2025-01-03,EU,🖥 Desktop,21,24910.42
2025-01-03,APAC,📱 Mobile,13,9023.94
2025-01-03,APAC,💻 Laptop,14,22689.87
2025-01-03,APAC,🎧 Audio,14,3385.5
2025-01-03,APAC,🖥 Desktop,14,18671.97
2025-01-03,LATAM,📱 Mobile,11,8930.52
2025-01-03,LATAM,💻 Laptop,10,16725.23
2025-01-03,LATAM,🎧 Audio,11,2567.2
2025-01-03,LATAM,🖥 Desktop,4,4678.03
2025-01-04,NA,📱 Mobile,9,8188.7
2025-01-04,NA,💻 Laptop,19,25515.37
2025-01-04,NA,🎧 Audio,15,3450.0
2025-01-04,NA,🖥 Desktop,16,19113.39
2025-01-04,EU,📱 Mobile,10,6809.82
2025-01-04,EU,💻 Laptop,10,14635.26
2025-01-04,EU,🎧 Audio,9,2555.84
2025-01-04,EU,🖥 Desktop,14,17760.09
2025-01-04,APAC,📱 Mobile,6,5053.73
2025-01-04,APAC,💻 Laptop,8,10394.37
2025-01-04,APAC,🎧 Audio,12,3337.06
2025-01-04,APAC,🖥 Desktop,6,7843.41
2025-01-04,LATAM,📱 Mobile,5,3524.24
2025-01-04,LATAM,💻 Laptop,7,10923.01
2025-01-04,LATAM,🎧 Audio,6,1368.94
2025-01-04,LATAM,🖥 Desktop,6,6470.57
2025-01-05,NA,📱 Mobile,13,8840.73
2025-01-05,NA,💻 Laptop,15,20146.04
2025-01-05,NA,🎧 Audio,17,3645.01
2025-01-05,NA,🖥 Desktop,16,21356.15
2025-01-05,EU,📱 Mobile,10,7405.42
2025-01-05,EU,💻 Laptop,11,15744.58
2025-01-05,EU,🎧 Audio,11,3037.87
2025-01-05,EU,🖥 Desktop,13,17907.72
2025-01-05,APAC,📱 Mobile,6,4203.67
2025-01-05,APAC,💻 Laptop,9,11888.86
2025-01-05,APAC,🎧 Audio,8,2197.31
2025-01-05,APAC,🖥 Desktop,10,10781.18
2025-01-05,LATAM,📱 Mobile,10,8067.82
2025-01-05,LATAM,💻 Laptop,6,8045.83
2025-01-05,LATAM,🎧 Audio,6,1512.65
2025-01-05,LATAM,🖥 Desktop,6,8233.56
2025-01-06,NA,📱 Mobile,25,18566.69
2025-01-06,NA,💻 Laptop,14,20160.21
2025-01-06,NA,🎧 Audio,24,6058.67
2025-01-06,NA,🖥 Desktop,28,36412.87
2025-01-06,EU,📱 Mobile,15,13121.44
2025-01-06,EU,💻 Laptop,20,34364.33
2025-01-06,EU,🎧 Audio,22,6025.25
2025-01-06,EU,🖥 Desktop,11,14149.9
2025-01-06,APAC,📱 Mobile,13,9949.36
2025-01-06,APAC,💻 Laptop,17,21896.7
2025-01-06,APAC,🎧 Audio,15,3479.07
2025-01-06,APAC,🖥 Desktop,13,16501.0
2025-01-06,LATAM,📱 Mobile,11,9953.74
2025-01-06,LATAM,💻 Laptop,8,13756.94
2025-01-06,LATAM,🎧 Audio,11,2519.38
2025-01-06,LATAM,🖥 Desktop,8,8813.32
2025-01-07,NA,📱 Mobile,21,17425.29
2025-01-07,NA,💻 Laptop,23,38643.19
2025-01-07,NA,🎧 Audio,23,6013.89
2025-01-07,NA,🖥 Desktop,15,19618.08
2025-01-07,EU,📱 Mobile,23,20661.97
2025-01-07,EU,💻 Laptop,20,32540.73
2025-01-07,EU,🎧 Audio,17,3840.12
2025-01-07,EU,🖥 Desktop,12,15649.07
2025-01-07,APAC,📱 Mobile,10,9131.98
2025-01-07,APAC,💻 Laptop,18,26156.29
2025-01-07,APAC,🎧 Audio,6,1601.16
2025-01-07,APAC,🖥 Desktop,18,19461.62
2025-01-07,LATAM,📱 Mobile,10,8971.65
2025-01-07,LATAM,💻 Laptop,10,16379.26
2025-01-07,LATAM,🎧 Audio,11,3146.25
2025-01-07,LATAM,🖥 Desktop,12,15079.4
2025-01-08,NA,📱 Mobile,16,11382.98
2025-01-08,NA,💻 Laptop,25,32035.23
2025-01-08,NA,🎧 Audio,28,7055.82
2025-01-08,NA,🖥 Desktop,19,25765.99
2025-01-08,EU,📱 Mobile,9,7904.5
2025-01-08,EU,💻 Laptop,21,28769.35
2025-01-08,EU,🎧 Audio,17,3919.19
2025-01-08,EU,🖥 Desktop,21,25853.46
2025-01-08,APAC,📱 Mobile,13,9248.95
2025-01-08,APAC,💻 Laptop,16,26952.12
2025-01-08,APAC,🎧 Audio,11,2818.76
2025-01-08,APAC,🖥 Desktop,16,21528.75
2025-01-08,LATAM,📱 Mobile,4,3201.58
2025-01-08,LATAM,💻 Laptop,11,16657.53
2025-01-08,LATAM,🎧 Audio,8,1964.07
2025-01-08,LATAM,🖥 Desktop,9,9773.27
2025-01-09,NA,📱 Mobile,30,21640.9
2025-01-09,NA,💻 Laptop,21,31249.51
2025-01-09,NA,🎧 Audio,19,4502.02
2025-01-09,NA,🖥 Desktop,14,16892.48
2025-01-09,EU,📱 Mobile,10,7054.66
2025-01-09,EU,💻 Laptop,15,22907.0
2025-01-09,EU,🎧 Audio,17,4597.13
2025-01-09,EU,🖥 Desktop,21,25258.32
2025-01-09,APAC,📱 Mobile,8,7191.98
2025-01-09,APAC,💻 Laptop,11,16219.08
2025-01-09,APAC,🎧 Audio,10,2509.12
2025-01-09,APAC,🖥 Desktop,10,12693.83
2025-01-09,LATAM,📱 Mobile,6,4768.37
2025-01-09,LATAM,💻 Laptop,10,16986.76
2025-01-09,LATAM,🎧 Audio,7,1982.14
2025-01-09,LATAM,🖥 Desktop,4,4453.81
2025-01-10,NA,📱 Mobile,9,7934.4
2025-01-10,NA,💻 Laptop,16,21387.37
2025-01-10,NA,🎧 Audio,24,5230.58
2025-01-10,NA,🖥 Desktop,24,26559.12
2025-01-10,EU,📱 Mobile,23,19967.33
2025-01-10,EU,💻 Laptop,20,33573.24
2025-01-10,EU,🎧 Audio,21,5502.4
2025-01-10,EU,🖥 Desktop,23,24643.87
2025-01-10,APAC,📱 Mobile,20,14654.02
2025-01-10,APAC,💻 Laptop,7,11925.39
2025-01-10,APAC,🎧 Audio,10,2867.4
2025-01-10,APAC,🖥 Desktop,15,19795.2
2025-01-10,LATAM,📱 Mobile,10,8037.45
2025-01-10,LATAM,💻 Laptop,11,15703.62
2025-01-10,LATAM,🎧 Audio,10,2666.61
2025-01-10,LATAM,🖥 Desktop,11,11297.15
2025-01-11,NA,📱 Mobile,10,6843.4
2025-01-11,NA,💻 Laptop,13,18514.26
2025-01-11,NA,🎧 Audio,11,2390.54
2025-01-11,NA,🖥 Desktop,11,15120.93
2025-01-11,EU,📱 Mobile,14,9872.06
2025-01-11,EU,💻 Laptop,4,5578.02
2025-01-11,EU,🎧 Audio,17,3957.32
2025-01-11,EU,🖥 Desktop,13,13866.32
2025-01-11,APAC,📱 Mobile,4,3506.22
2025-01-11,APAC,💻 Laptop,12,16696.49
2025-01-11,APAC,🎧 Audio,12,3063.54
2025-01-11,APAC,🖥 Desktop,13,16537.95
2025-01-11,LATAM,📱 Mobile,7,5916.19
2025-01-11,LATAM,💻 Laptop,6,8798.36
2025-01-11,LATAM,🎧 Audio,10,2600.83
2025-01-11,LATAM,🖥 Desktop,8,10468.69
2025-01-12,NA,📱 Mobile,21,14615.78
2025-01-12,NA,💻 Laptop,18,29938.48
2025-01-12,NA,🎧 Audio,11,2793.78
2025-01-12,NA,🖥 Desktop,15,20304.01
2025-01-12,EU,📱 Mobile,12,9677.52
2025-01-12,EU,💻 Laptop,14,19352.15
2025-01-12,EU,🎧 Audio,13,2811.62
